,round_num,clutcher_steamid,clutcher_team_side,opponents_at_start,clutch_kills,clutch_outcome,round_won,clutcher_survived_round,match_name,file_id,event_id
0,1,76561198170631091,t,4,1,lost,False,False,3dmax-vs-big-m1-ancient.dem,4406,1
1,2,76561198170631091,t,3,0,save,False,True,3dmax-vs-big-m1-ancient.dem,4406,1
2,3,76561198168198200,ct,3,0,save,False,True,3dmax-vs-big-m1-ancient.dem,4406,1
3,4,76561198139604328,t,2,0,lost,False,False,3dmax-vs-big-m1-ancient.dem,4406,1
4,5,76561198168198200,ct,2,0,lost,False,False,3dmax-vs-big-m1-ancient.dem,4406,1
5,6,76561198179538505,ct,4,0,lost,False,False,3dmax-vs-big-m1-ancient.dem,4406,1
6,7,76561198179538505,ct,4,0,lost,False,False,3dmax-vs-big-m1-ancient.dem,4406,1
7,8,76561198144926364,t,5,1,lost,False,False,3dmax-vs-big-m1-ancient.dem,4406,1
8,9,76561198047876970,ct,3,0,lost,False,False,3dmax-vs-big-m1-ancient.dem,4406,1
9,10,76561198045739761,ct,2,1,lost,False,False,3dmax-vs-big-m1-ancient.dem,4406,1
10,11,76561198139604328,t,3,0,lost,False,False,3dmax-vs-big-m1-ancient.dem,4406,1
11,12,76561198144926364,t,5,1,lost,False,False,3dmax-vs-big-m1-ancient.dem,4406,1
12,13,76561198031890115,t,4,0,lost,False,False,3dmax-vs-big-m1-ancient.dem,4406,1
13,14,76561198179538505,t,2,0,lost,False,False,3dmax-vs-big-m1-ancient.dem,4406,1
14,15,76561198047876970,t,4,2,save,False,True,3dmax-vs-big-m1-ancient.dem,4406,1
15,16,76561198170631091,ct,3,0,lost,False,False,3dmax-vs-big-m1-ancient.dem,4406,1
16,17,76561198170631091,ct,2,0,lost,False,False,3dmax-vs-big-m1-ancient.dem,4406,1
17,20,76561198170631091,ct,2,0,lost,False,False,3dmax-vs-big-m1-ancient.dem,4406,1
18,21,76561198168198200,t,2,0,lost,False,False,3dmax-vs-big-m1-ancient.dem,4406,1
19,22,76561198031890115,t,2,0,lost,False,False,3dmax-vs-big-m1-ancient.dem,4406,1
20,23,76561198170631091,ct,3,0,save,False,True,3dmax-vs-big-m1-ancient.dem,4406,1
21,24,76561198078771373,ct,3,0,save,False,True,3dmax-vs-big-m1-ancient.dem,4406,1
22,1,76561198045739761,t,3,3,won,True,True,3dmax-vs-big-m2-inferno.dem,4407,1
23,3,76561198045739761,t,2,2,won,True,True,3dmax-vs-big-m2-inferno.dem,4407,1
24,4,76561198078771373,ct,5,1,save,False,True,3dmax-vs-big-m2-inferno.dem,4407,1
25,5,76561197961491680,ct,2,0,save,False,True,3dmax-vs-big-m2-inferno.dem,4407,1
26,8,76561198031890115,t,2,2,won,True,True,3dmax-vs-big-m2-inferno.dem,4407,1
27,9,76561198144926364,ct,4,0,lost,False,False,3dmax-vs-big-m2-inferno.dem,4407,1
28,10,76561198139604328,ct,5,2,lost,False,False,3dmax-vs-big-m2-inferno.dem,4407,1
29,11,76561198170631091,ct,2,2,won,True,True,3dmax-vs-big-m2-inferno.dem,4407,1
30,12,76561198031890115,t,2,2,won,True,True,3dmax-vs-big-m2-inferno.dem,4407,1
31,13,76561198170631091,t,3,0,lost,False,False,3dmax-vs-big-m2-inferno.dem,4407,1
32,14,76561198144926364,t,3,0,lost,False,False,3dmax-vs-big-m2-inferno.dem,4407,1
33,15,76561197961491680,t,3,0,lost,False,False,3dmax-vs-big-m2-inferno.dem,4407,1
34,17,76561198045739761,ct,4,0,lost,False,False,3dmax-vs-big-m2-inferno.dem,4407,1
35,18,76561198047876970,ct,3,0,lost,False,False,3dmax-vs-big-m2-inferno.dem,4407,1
36,19,76561198078771373,t,3,0,save,False,True,3dmax-vs-big-m2-inferno.dem,4407,1
37,1,76561198031890115,t,4,0,lost,False,False,eternal-fire-vs-3dmax-m1-inferno.dem,4408,1
38,2,76561198179538505,t,4,0,lost,False,False,eternal-fire-vs-3dmax-m1-inferno.dem,4408,1
39,3,76561197967432889,ct,3,0,save,False,True,eternal-fire-vs-3dmax-m1-inferno.dem,4408,1
40,4,76561198410750263,ct,3,0,save,False,True,eternal-fire-vs-3dmax-m1-inferno.dem,4408,1
41,6,76561198031890115,t,4,1,lost,False,False,eternal-fire-vs-3dmax-m1-inferno.dem,4408,1
42,7,76561198410750263,ct,2,1,lost,False,False,eternal-fire-vs-3dmax-m1-inferno.dem,4408,1
43,9,76561197967432889,ct,3,0,lost,False,False,eternal-fire-vs-3dmax-m1-inferno.dem,4408,1
44,10,76561198044118796,ct,3,1,save,False,True,eternal-fire-vs-3dmax-m1-inferno.dem,4408,1
45,11,76561198083485506,ct,2,0,lost,False,False,eternal-fire-vs-3dmax-m1-inferno.dem,4408,1
46,12,76561198083485506,ct,2,0,lost,False,False,eternal-fire-vs-3dmax-m1-inferno.dem,4408,1
47,13,76561198044118796,t,4,1,lost,False,False,eternal-fire-vs-3dmax-m1-inferno.dem,4408,1
48,14,76561198812513923,t,5,3,lost,False,False,eternal-fire-vs-3dmax-m1-inferno.dem,4408,1
49,15,76561198812513923,t,3,1,lost,False,False,eternal-fire-vs-3dmax-m1-inferno.dem,4408,1
50,17,76561198812513923,t,2,0,save,False,True,eternal-fire-vs-3dmax-m1-inferno.dem,4408,1
51,1,76561198083485506,t,4,0,lost,False,False,eternal-fire-vs-3dmax-m2-anubis.dem,4409,1
52,2,76561198083485506,t,5,0,lost,False,False,eternal-fire-vs-3dmax-m2-anubis.dem,4409,1
53,3,76561198179538505,ct,5,0,lost,False,False,eternal-fire-vs-3dmax-m2-anubis.dem,4409,1
54,4,76561198179538505,ct,4,0,lost,False,False,eternal-fire-vs-3dmax-m2-anubis.dem,4409,1
