,round_num,clutcher_steamid,clutcher_team_side,opponents_at_start,clutch_kills,clutch_outcome,round_won,clutcher_survived_round,match_name,file_id,event_id
0,1,76561197987713664,t,3,0,lost,False,False,3dmax-vs-astralis-m1-dust2.dem,4494,2
1,2,76561198022365638,t,5,0,lost,False,False,3dmax-vs-astralis-m1-dust2.dem,4494,2
2,3,76561198022365638,t,5,0,lost,False,False,3dmax-vs-astralis-m1-dust2.dem,4494,2
3,4,76561198013295375,ct,2,0,lost,False,False,3dmax-vs-astralis-m1-dust2.dem,4494,2
4,6,76561198031890115,ct,2,0,won,True,True,3dmax-vs-astralis-m1-dust2.dem,4494,2
5,7,76561198005107817,t,2,0,lost,False,False,3dmax-vs-astralis-m1-dust2.dem,4494,2
6,8,76561198045739761,ct,4,0,lost,False,False,3dmax-vs-astralis-m1-dust2.dem,4494,2
7,9,76561197987713664,t,3,0,save,False,True,3dmax-vs-astralis-m1-dust2.dem,4494,2
8,10,76561198168198200,ct,2,0,lost,False,False,3dmax-vs-astralis-m1-dust2.dem,4494,2
9,11,76561198031890115,ct,2,0,lost,False,False,3dmax-vs-astralis-m1-dust2.dem,4494,2
10,12,76561198031890115,ct,3,0,lost,False,False,3dmax-vs-astralis-m1-dust2.dem,4494,2
11,13,76561198120557348,ct,4,0,lost,False,False,3dmax-vs-astralis-m1-dust2.dem,4494,2
12,14,76561198168198200,t,3,0,lost,False,False,3dmax-vs-astralis-m1-dust2.dem,4494,2
13,15,76561198120557348,ct,2,0,lost,False,False,3dmax-vs-astralis-m1-dust2.dem,4494,2
14,16,76561198031890115,t,4,0,lost,False,False,3dmax-vs-astralis-m1-dust2.dem,4494,2
15,17,76561198013295375,t,3,0,lost,True,False,3dmax-vs-astralis-m1-dust2.dem,4494,2
16,19,76561198022365638,ct,4,0,lost,False,False,3dmax-vs-astralis-m1-dust2.dem,4494,2
17,20,76561198004115516,ct,2,0,save,False,True,3dmax-vs-astralis-m1-dust2.dem,4494,2
18,1,76561198031890115,ct,3,1,lost,False,False,3dmax-vs-astralis-m2-ancient.dem,4495,2
19,2,76561198031890115,ct,4,0,save,False,True,3dmax-vs-astralis-m2-ancient.dem,4495,2
20,3,76561198045739761,ct,4,1,save,False,True,3dmax-vs-astralis-m2-ancient.dem,4495,2
21,4,76561198179538505,ct,2,1,lost,False,False,3dmax-vs-astralis-m2-ancient.dem,4495,2
22,5,76561198120557348,t,3,0,lost,False,False,3dmax-vs-astralis-m2-ancient.dem,4495,2
23,6,76561198120557348,t,3,1,lost,False,False,3dmax-vs-astralis-m2-ancient.dem,4495,2
24,8,76561198045739761,ct,4,0,lost,False,False,3dmax-vs-astralis-m2-ancient.dem,4495,2
25,9,76561198168198200,ct,5,0,lost,False,False,3dmax-vs-astralis-m2-ancient.dem,4495,2
26,11,76561198045739761,ct,2,2,won,True,True,3dmax-vs-astralis-m2-ancient.dem,4495,2
27,12,76561198168198200,ct,3,0,lost,False,False,3dmax-vs-astralis-m2-ancient.dem,4495,2
28,13,76561198022365638,ct,3,0,lost,False,False,3dmax-vs-astralis-m2-ancient.dem,4495,2
29,16,76561198004115516,ct,2,2,won,True,True,3dmax-vs-astralis-m2-ancient.dem,4495,2
30,17,76561198004115516,ct,2,1,lost,False,False,3dmax-vs-astralis-m2-ancient.dem,4495,2
31,18,76561198045739761,t,4,1,lost,False,False,3dmax-vs-astralis-m2-ancient.dem,4495,2
32,19,76561198031890115,t,3,1,lost,False,False,3dmax-vs-astralis-m2-ancient.dem,4495,2
33,20,76561198179538505,t,5,0,save,False,True,3dmax-vs-astralis-m2-ancient.dem,4495,2
34,2,76561197987713664,ct,2,1,lost,False,False,3dmax-vs-astralis-m3-inferno.dem,4496,2
35,4,76561198168198200,t,5,1,lost,False,False,3dmax-vs-astralis-m3-inferno.dem,4496,2
36,5,76561198022365638,ct,2,2,won,True,True,3dmax-vs-astralis-m3-inferno.dem,4496,2
37,6,76561198045739761,t,5,1,lost,False,False,3dmax-vs-astralis-m3-inferno.dem,4496,2
38,8,76561198005107817,ct,2,2,won,True,True,3dmax-vs-astralis-m3-inferno.dem,4496,2
39,10,76561198179538505,t,5,0,save,False,True,3dmax-vs-astralis-m3-inferno.dem,4496,2
40,12,76561197987713664,ct,2,0,lost,False,False,3dmax-vs-astralis-m3-inferno.dem,4496,2
41,13,76561198120557348,t,4,0,lost,False,False,3dmax-vs-astralis-m3-inferno.dem,4496,2
42,14,76561198022365638,t,5,0,lost,False,False,3dmax-vs-astralis-m3-inferno.dem,4496,2
43,15,76561198120557348,t,3,0,lost,False,False,3dmax-vs-astralis-m3-inferno.dem,4496,2
44,17,76561198004115516,t,4,0,lost,False,False,3dmax-vs-astralis-m3-inferno.dem,4496,2
45,18,76561198120557348,t,5,1,lost,False,False,3dmax-vs-astralis-m3-inferno.dem,4496,2
46,19,76561198168198200,ct,2,1,lost,False,False,3dmax-vs-astralis-m3-inferno.dem,4496,2
47,20,76561197987713664,t,5,0,save,False,True,3dmax-vs-astralis-m3-inferno.dem,4496,2
48,1,76561198168198200,ct,4,0,lost,False,False,3dmax-vs-faze-m1-anubis.dem,4497,2
49,2,76561198179538505,ct,4,0,lost,False,False,3dmax-vs-faze-m1-anubis.dem,4497,2
50,4,76561198045739761,ct,2,0,lost,False,False,3dmax-vs-faze-m1-anubis.dem,4497,2
51,5,76561198045739761,ct,3,0,save,False,True,3dmax-vs-faze-m1-anubis.dem,4497,2
52,6,76561198031890115,ct,4,0,save,False,True,3dmax-vs-faze-m1-anubis.dem,4497,2
53,7,76561198168198200,ct,3,0,lost,False,False,3dmax-vs-faze-m1-anubis.dem,4497,2
54,8,76561198168198200,ct,3,0,lost,False,False,3dmax-vs-faze-m1-anubis.dem,4497,2
55,9,76561198168198200,ct,2,0,lost,False,False,3dmax-vs-faze-m1-anubis.dem,4497,2
56,10,76561198031890115,ct,3,0,lost,False,False,3dmax-vs-faze-m1-anubis.dem,4497,2
57,11,76561198031890115,ct,5,0,lost,False,False,3dmax-vs-faze-m1-anubis.dem,4497,2
58,12,76561198045739761,ct,2,0,lost,False,False,3dmax-vs-faze-m1-anubis.dem,4497,2
59,13,76561198168198200,t,5,0,lost,False,False,3dmax-vs-faze-m1-anubis.dem,4497,2
60,1,76561197989430253,t,3,0,lost,False,False,3dmax-vs-faze-m2-nuke.dem,4498,2
61,2,76561198068422762,t,5,0,lost,False,False,3dmax-vs-faze-m2-nuke.dem,4498,2
62,3,76561198031890115,ct,2,2,won,True,True,3dmax-vs-faze-m2-nuke.dem,4498,2
63,4,76561198031890115,ct,2,0,save,False,True,3dmax-vs-faze-m2-nuke.dem,4498,2
64,5,76561197989430253,t,2,0,lost,False,False,3dmax-vs-faze-m2-nuke.dem,4498,2
65,6,76561198013295375,ct,3,0,lost,False,False,3dmax-vs-faze-m2-nuke.dem,4498,2
66,7,76561198045739761,ct,3,0,lost,False,False,3dmax-vs-faze-m2-nuke.dem,4498,2
67,8,76561198045739761,ct,4,0,save,False,True,3dmax-vs-faze-m2-nuke.dem,4498,2
68,9,76561198013295375,ct,4,0,lost,False,False,3dmax-vs-faze-m2-nuke.dem,4498,2
69,10,76561198168198200,ct,3,0,lost,False,False,3dmax-vs-faze-m2-nuke.dem,4498,2
70,11,76561198045739761,ct,5,0,lost,False,False,3dmax-vs-faze-m2-nuke.dem,4498,2
71,12,76561198068422762,t,4,2,lost,True,False,3dmax-vs-faze-m2-nuke.dem,4498,2
72,13,76561198068422762,ct,5,0,lost,False,False,3dmax-vs-faze-m2-nuke.dem,4498,2
73,14,76561198045739761,t,3,0,lost,False,False,3dmax-vs-faze-m2-nuke.dem,4498,2
74,15,76561198013295375,t,4,2,lost,False,False,3dmax-vs-faze-m2-nuke.dem,4498,2
75,16,76561198013295375,t,5,0,lost,False,False,3dmax-vs-faze-m2-nuke.dem,4498,2
76,17,76561198045739761,t,3,2,lost,False,False,3dmax-vs-faze-m2-nuke.dem,4498,2
77,18,76561198168198200,t,2,0,save,False,True,3dmax-vs-faze-m2-nuke.dem,4498,2
78,1,76561198107012488,ct,3,0,save,False,True,apogee-vs-faze-m1-dust2.dem,4499,2
79,2,76561198308155775,ct,4,0,lost,False,False,apogee-vs-faze-m1-dust2.dem,4499,2
80,3,76561198254686734,ct,5,0,lost,False,False,apogee-vs-faze-m1-dust2.dem,4499,2
81,4,76561197989430253,t,3,0,lost,False,False,apogee-vs-faze-m1-dust2.dem,4499,2
82,6,76561198308155775,ct,2,0,lost,False,False,apogee-vs-faze-m1-dust2.dem,4499,2
83,7,76561198107012488,ct,4,0,save,False,True,apogee-vs-faze-m1-dust2.dem,4499,2
84,8,76561198201620490,t,2,0,won,True,True,apogee-vs-faze-m1-dust2.dem,4499,2
85,10,76561198201620490,t,3,0,lost,False,False,apogee-vs-faze-m1-dust2.dem,4499,2
86,12,76561198254686734,ct,3,0,lost,False,False,apogee-vs-faze-m1-dust2.dem,4499,2
87,13,76561198254686734,t,4,0,lost,False,False,apogee-vs-faze-m1-dust2.dem,4499,2
88,14,76561198107012488,t,2,0,lost,False,False,apogee-vs-faze-m1-dust2.dem,4499,2
89,15,76561198308155775,t,5,0,lost,False,False,apogee-vs-faze-m1-dust2.dem,4499,2
90,16,76561197989430253,ct,3,0,save,False,True,apogee-vs-faze-m1-dust2.dem,4499,2
91,17,76561198178737429,t,2,0,won,True,True,apogee-vs-faze-m1-dust2.dem,4499,2
92,18,76561198254686734,t,4,0,save,False,True,apogee-vs-faze-m1-dust2.dem,4499,2
93,1,76561198077677671,t,4,0,lost,False,False,apogee-vs-faze-m2-ancient.dem,4500,2
94,2,76561198254686734,t,5,0,lost,False,False,apogee-vs-faze-m2-ancient.dem,4500,2
95,3,76561197989430253,ct,3,0,lost,False,False,apogee-vs-faze-m2-ancient.dem,4500,2
96,4,76561198107012488,t,2,0,lost,False,False,apogee-vs-faze-m2-ancient.dem,4500,2
97,5,76561198077677671,t,3,0,lost,False,False,apogee-vs-faze-m2-ancient.dem,4500,2
98,6,76561198107012488,t,3,1,lost,False,False,apogee-vs-faze-m2-ancient.dem,4500,2
99,7,76561198254686734,t,4,0,lost,False,False,apogee-vs-faze-m2-ancient.dem,4500,2
100,11,76561198254686734,t,5,0,lost,False,False,apogee-vs-faze-m2-ancient.dem,4500,2
101,12,76561198068422762,ct,3,0,lost,False,False,apogee-vs-faze-m2-ancient.dem,4500,2
102,13,76561197989430253,t,4,0,lost,False,False,apogee-vs-faze-m2-ancient.dem,4500,2
103,14,76561197997351207,t,3,0,lost,False,False,apogee-vs-faze-m2-ancient.dem,4500,2
104,15,76561198178737429,ct,2,0,lost,False,False,apogee-vs-faze-m2-ancient.dem,4500,2
105,16,76561198107012488,ct,4,0,lost,False,False,apogee-vs-faze-m2-ancient.dem,4500,2
106,17,76561198254686734,ct,3,1,save,False,True,apogee-vs-faze-m2-ancient.dem,4500,2
107,18,76561198254686734,ct,4,0,lost,False,False,apogee-vs-faze-m2-ancient.dem,4500,2
108,19,76561198201620490,t,5,1,lost,False,False,apogee-vs-faze-m2-ancient.dem,4500,2
109,20,76561198254686734,ct,2,0,lost,False,False,apogee-vs-faze-m2-ancient.dem,4500,2
110,21,76561198068422762,t,2,2,won,True,True,apogee-vs-faze-m2-ancient.dem,4500,2
111,1,76561198004115516,ct,3,2,save,False,True,astralis-vs-apogee-m1-mirage.dem,4501,2
112,3,76561198022365638,ct,3,1,lost,False,False,astralis-vs-apogee-m1-mirage.dem,4501,2
113,4,76561198107012488,t,3,0,save,False,True,astralis-vs-apogee-m1-mirage.dem,4501,2
114,6,76561198022365638,ct,3,0,save,False,True,astralis-vs-apogee-m1-mirage.dem,4501,2
115,7,76561198254686734,t,3,2,lost,False,False,astralis-vs-apogee-m1-mirage.dem,4501,2
116,8,76561198308155775,t,2,0,lost,False,False,astralis-vs-apogee-m1-mirage.dem,4501,2
117,9,76561198005107817,ct,2,1,lost,False,False,astralis-vs-apogee-m1-mirage.dem,4501,2
118,10,76561198022365638,ct,3,0,lost,False,False,astralis-vs-apogee-m1-mirage.dem,4501,2
119,12,76561198120557348,ct,2,0,lost,False,False,astralis-vs-apogee-m1-mirage.dem,4501,2
120,13,76561198022365638,t,3,0,save,False,True,astralis-vs-apogee-m1-mirage.dem,4501,2
121,14,76561198004115516,t,3,0,lost,False,False,astralis-vs-apogee-m1-mirage.dem,4501,2
122,15,76561198022365638,t,3,0,lost,False,False,astralis-vs-apogee-m1-mirage.dem,4501,2
123,16,76561198254686734,ct,4,1,lost,False,False,astralis-vs-apogee-m1-mirage.dem,4501,2
124,17,76561198308155775,ct,2,0,lost,False,False,astralis-vs-apogee-m1-mirage.dem,4501,2
125,18,76561198308155775,ct,3,0,lost,False,False,astralis-vs-apogee-m1-mirage.dem,4501,2
126,20,76561198254686734,ct,2,0,lost,False,False,astralis-vs-apogee-m1-mirage.dem,4501,2
127,21,76561198004115516,t,3,2,lost,False,False,astralis-vs-apogee-m1-mirage.dem,4501,2
128,1,76561197987713664,t,4,0,lost,False,False,astralis-vs-apogee-m2-ancient.dem,4502,2
129,2,76561198022365638,t,5,0,lost,False,False,astralis-vs-apogee-m2-ancient.dem,4502,2
130,3,76561198004115516,t,5,0,lost,False,False,astralis-vs-apogee-m2-ancient.dem,4502,2
131,4,76561198120557348,t,5,0,lost,False,False,astralis-vs-apogee-m2-ancient.dem,4502,2
132,5,76561198005107817,t,4,0,lost,False,False,astralis-vs-apogee-m2-ancient.dem,4502,2
133,6,76561198022365638,t,5,1,lost,False,False,astralis-vs-apogee-m2-ancient.dem,4502,2
134,7,76561198005107817,t,3,0,lost,False,False,astralis-vs-apogee-m2-ancient.dem,4502,2
135,8,76561198077677671,ct,2,0,lost,False,False,astralis-vs-apogee-m2-ancient.dem,4502,2
136,9,76561198107012488,ct,2,0,lost,False,False,astralis-vs-apogee-m2-ancient.dem,4502,2
137,10,76561198022365638,t,4,1,lost,False,False,astralis-vs-apogee-m2-ancient.dem,4502,2
138,11,76561198005107817,t,5,1,lost,False,False,astralis-vs-apogee-m2-ancient.dem,4502,2
