,event_id,match_name,winner_score,defeated_score,match_date,game_number,map_name,winner_team_id,defeated_team_id
0,8,astralis-vs-mouz-m1-vertigo.dem,13,7,2024-10-31,m1,vertigo,8,14
1,8,astralis-vs-mouz-m2-nuke.dem,13,9,2024-10-31,m2,nuke,8,14
2,8,astralis-vs-spirit-m1-dust2.dem,13,5,2024-11-02,m1,dust2,107,8
3,8,astralis-vs-spirit-m2-vertigo.dem,13,3,2024-11-02,m2,vertigo,8,107
4,8,astralis-vs-spirit-m3-ancient.dem,13,5,2024-11-02,m3,ancient,107,8
5,8,faze-vs-spirit-m1-mirage.dem,13,10,2024-11-01,m1,mirage,107,4
6,8,faze-vs-spirit-m2-anubis.dem,19,17,2024-11-01,m2,anubis,107,4
7,8,g2-vs-liquid-m1-ancient.dem,0,0,2024-10-30,m1,ancient,,
8,8,g2-vs-liquid-m2-inferno.dem,13,6,2024-10-30,m2,inferno,7,76
9,8,g2-vs-liquid-m3-mirage.dem,13,6,2024-10-30,m3,mirage,7,76
10,8,g2-vs-spirit-m1-anubis.dem,16,13,2024-10-31,m1,anubis,7,107
11,8,g2-vs-spirit-m1-mirage.dem,13,7,2024-11-03,m1,mirage,7,107
12,8,g2-vs-spirit-m2-anubis.dem,13,5,2024-11-03,m2,anubis,7,107
13,8,g2-vs-spirit-m2-mirage.dem,13,10,2024-10-31,m2,mirage,7,107
14,8,g2-vs-spirit-m3-dust2.dem,13,7,2024-11-03,m3,dust2,7,107
15,8,g2-vs-vitality-m1-dust2.dem,13,10,2024-11-02,m1,dust2,7,51
16,8,g2-vs-vitality-m2-inferno.dem,13,7,2024-11-02,m2,inferno,51,7
17,8,g2-vs-vitality-m3-mirage.dem,13,8,2024-11-02,m3,mirage,7,51
18,8,liquid-vs-vitality-m1-anubis.dem,13,10,2024-10-31,m1,anubis,76,51
19,8,liquid-vs-vitality-m2-dust2.dem,13,3,2024-10-31,m2,dust2,51,76
20,8,liquid-vs-vitality-m3-nuke.dem,13,11,2024-10-31,m3,nuke,51,76
21,8,mouz-vs-faze-m1-inferno.dem,16,13,2024-10-30,m1,inferno,14,4
22,8,mouz-vs-faze-m2-nuke.dem,13,11,2024-10-30,m2,nuke,14,4
23,8,mouz-vs-vitality-m1-dust2.dem,13,6,2024-11-01,m1,dust2,51,14
24,8,mouz-vs-vitality-m2-mirage.dem,13,6,2024-11-01,m2,mirage,51,14
25,8,natus-vincere-vs-astralis-m1-nuke.dem,13,6,2024-10-30,m1,nuke,8,15
26,8,natus-vincere-vs-astralis-m2-mirage.dem,13,6,2024-10-30,m2,mirage,8,15
27,8,natus-vincere-vs-faze-m1-inferno.dem,13,6,2024-10-31,m1,inferno,15,4
28,8,natus-vincere-vs-faze-m2-mirage.dem,13,8,2024-10-31,m2,mirage,4,15
29,8,natus-vincere-vs-faze-m3-ancient.dem,13,6,2024-10-31,m3,ancient,4,15
30,8,vitality-vs-spirit-m1-anubis.dem,13,9,2024-10-30,m1,anubis,107,51
31,8,vitality-vs-spirit-m2-mirage.dem,13,11,2024-10-30,m2,mirage,107,51
