,event_id,match_name,winner_score,defeated_score,match_date,game_number,map_name,winner_team_id,defeated_team_id
0,5,eternal-fire-vs-3dmax-m1-inferno.dem,13,10,2025-03-07,m1,inferno,1,3
1,5,eternal-fire-vs-3dmax-m2-anubis.dem,13,10,2025-03-07,m2,anubis,1,3
2,5,eternal-fire-vs-mibr-m1-mirage.dem,13,3,2025-03-08,m1,mirage,3,45
3,5,eternal-fire-vs-mibr-m2-inferno.dem,13,8,2025-03-08,m2,inferno,3,45
4,5,eternal-fire-vs-pain-m1-nuke.dem,13,9,2025-03-10,m1,nuke,3,24
5,5,eternal-fire-vs-pain-m2-inferno.dem,13,7,2025-03-10,m2,inferno,3,24
6,5,eternal-fire-vs-spirit-m1-nuke.dem,19,15,2025-03-13,m1,nuke,11,3
7,5,eternal-fire-vs-spirit-m2-anubis.dem,13,10,2025-03-13,m2,anubis,3,11
8,5,eternal-fire-vs-spirit-m3-mirage.dem,13,7,2025-03-13,m3,mirage,11,3
9,5,falcons-vs-3dmax-m1-inferno.dem,13,11,2025-03-09,m1,inferno,1,6
10,5,falcons-vs-3dmax-m2-ancient.dem,13,7,2025-03-09,m2,ancient,6,1
11,5,falcons-vs-3dmax-m3-dust2.dem,13,2,2025-03-09,m3,dust2,1,6
12,5,falcons-vs-eternal-fire-m1-inferno.dem,13,8,2025-03-11,m1,inferno,3,6
13,5,falcons-vs-eternal-fire-m2-mirage.dem,16,13,2025-03-11,m2,mirage,6,3
14,5,falcons-vs-eternal-fire-m3-dust2.dem,13,9,2025-03-11,m3,dust2,3,6
15,5,falcons-vs-furia-m1-train.dem,16,13,2025-03-10,m1,train,9,6
16,5,falcons-vs-furia-m2-mirage.dem,16,14,2025-03-10,m2,mirage,6,9
17,5,falcons-vs-furia-m3-dust2.dem,13,9,2025-03-10,m3,dust2,6,9
18,5,falcons-vs-liquid-m1-inferno.dem,16,14,2025-03-07,m1,inferno,6,13
19,5,falcons-vs-liquid-m2-dust2.dem,13,9,2025-03-07,m2,dust2,13,6
20,5,falcons-vs-liquid-m3-ancient.dem,16,13,2025-03-07,m3,ancient,6,13
21,5,furia-vs-mibr-m1-anubis.dem,13,9,2025-03-09,m1,anubis,9,45
22,5,furia-vs-mibr-m2-mirage.dem,19,17,2025-03-09,m2,mirage,45,9
23,5,furia-vs-mibr-m3-inferno.dem,13,1,2025-03-09,m3,inferno,9,45
24,5,g2-vs-gamerlegion-m1-inferno.dem,13,11,2025-03-11,m1,inferno,7,10
25,5,g2-vs-gamerlegion-m2-nuke.dem,13,9,2025-03-11,m2,nuke,7,10
26,5,g2-vs-natus-vincere-m1-mirage.dem,13,9,2025-03-10,m1,mirage,15,7
27,5,g2-vs-natus-vincere-m2-ancient.dem,13,6,2025-03-10,m2,ancient,15,7
28,5,g2-vs-pain-m1-nuke.dem,13,5,2025-03-07,m1,nuke,7,24
29,5,g2-vs-pain-m2-inferno.dem,13,8,2025-03-07,m2,inferno,7,24
30,5,g2-vs-saw-m1-nuke.dem,13,5,2025-03-09,m1,nuke,7,39
31,5,g2-vs-saw-m2-dust2.dem,13,6,2025-03-09,m2,dust2,7,39
32,5,g2-vs-the-mongolz-m1-ancient.dem,13,9,2025-03-08,m1,ancient,7,12
33,5,g2-vs-the-mongolz-m2-dust2.dem,16,12,2025-03-08,m2,dust2,12,7
34,5,g2-vs-the-mongolz-m3-mirage.dem,13,10,2025-03-08,m3,mirage,12,7
35,5,gamerlegion-vs-pain-m1-nuke.dem,13,7,2025-03-08,m1,nuke,24,10
36,5,gamerlegion-vs-pain-m2-inferno.dem,16,13,2025-03-08,m2,inferno,10,24
37,5,gamerlegion-vs-pain-m3-mirage.dem,13,2,2025-03-08,m3,mirage,24,10
38,5,gamerlegion-vs-tyloo-m1-ancient-p1.dem,6,4,2025-03-09,m1,ancient,10,70
39,5,gamerlegion-vs-tyloo-m1-ancient-p2.dem,6,4,2025-03-09,m1,ancient,70,10
40,5,gamerlegion-vs-tyloo-m1-ancient-p3.dem,9,5,2025-03-09,m1,ancient,10,70
41,5,gamerlegion-vs-tyloo-m2-inferno.dem,22,20,2025-03-09,m2,inferno,10,70
42,5,liquid-vs-3dmax-m1-inferno.dem,13,11,2025-03-11,m1,inferno,13,1
43,5,liquid-vs-3dmax-m2-ancient.dem,13,6,2025-03-11,m2,ancient,1,13
44,5,liquid-vs-3dmax-m3-anubis.dem,13,4,2025-03-11,m3,anubis,13,1
45,5,liquid-vs-eternal-fire-m1-inferno.dem,13,11,2025-03-09,m1,inferno,13,3
46,5,liquid-vs-eternal-fire-m2-train.dem,19,17,2025-03-09,m2,train,13,3
47,5,liquid-vs-furia-m1-dust2.dem,13,10,2025-03-08,m1,dust2,13,9
48,5,liquid-vs-furia-m2-anubis.dem,13,8,2025-03-08,m2,anubis,13,9
49,5,mouz-vs-falcons-m1-train.dem,13,7,2025-03-08,m1,train,14,6
50,5,mouz-vs-falcons-m2-nuke.dem,13,9,2025-03-08,m2,nuke,14,6
51,5,mouz-vs-furia-m1-train.dem,13,9,2025-03-07,m1,train,14,9
52,5,mouz-vs-furia-m2-inferno.dem,16,13,2025-03-07,m2,inferno,9,14
53,5,mouz-vs-furia-m3-nuke.dem,13,11,2025-03-07,m3,nuke,14,9
54,5,mouz-vs-g2-m1-inferno.dem,13,11,2025-03-13,m1,inferno,7,14
55,5,mouz-vs-g2-m2-nuke.dem,13,8,2025-03-13,m2,nuke,14,7
56,5,mouz-vs-g2-m3-ancient.dem,13,11,2025-03-13,m3,ancient,14,7
57,5,mouz-vs-liquid-m1-ancient.dem,13,8,2025-03-10,m1,ancient,14,13
58,5,mouz-vs-liquid-m2-nuke.dem,13,4,2025-03-10,m2,nuke,14,13
59,5,mouz-vs-vitality-m1-dust2.dem,13,9,2025-03-16,m1,dust2,16,14
60,5,mouz-vs-vitality-m2-nuke.dem,13,4,2025-03-16,m2,nuke,16,14
61,5,mouz-vs-vitality-m3-inferno.dem,13,5,2025-03-16,m3,inferno,16,14
62,5,natus-vincere-vs-saw-m1-inferno.dem,13,3,2025-03-07,m1,inferno,15,39
63,5,natus-vincere-vs-saw-m2-nuke.dem,13,9,2025-03-07,m2,nuke,39,15
64,5,natus-vincere-vs-saw-m3-ancient.dem,13,4,2025-03-07,m3,ancient,39,15
65,5,natus-vincere-vs-the-mongolz-m1-mirage.dem,13,6,2025-03-14,m1,mirage,12,15
66,5,natus-vincere-vs-the-mongolz-m2-ancient.dem,13,6,2025-03-14,m2,ancient,12,15
67,5,natus-vincere-vs-tyloo-m1-inferno.dem,13,10,2025-03-08,m1,inferno,70,15
68,5,natus-vincere-vs-tyloo-m2-mirage.dem,13,5,2025-03-08,m2,mirage,15,70
69,5,natus-vincere-vs-tyloo-m3-ancient.dem,13,5,2025-03-08,m3,ancient,15,70
70,5,pain-vs-natus-vincere-m1-train.dem,16,14,2025-03-09,m1,train,15,24
71,5,pain-vs-natus-vincere-m2-mirage.dem,13,6,2025-03-09,m2,mirage,15,24
72,5,saw-vs-gamerlegion-m1-train.dem,13,5,2025-03-10,m1,train,39,10
73,5,saw-vs-gamerlegion-m2-inferno.dem,13,9,2025-03-10,m2,inferno,10,39
74,5,saw-vs-gamerlegion-m3-ancient.dem,13,8,2025-03-10,m3,ancient,10,39
75,5,spirit-vs-mouz-m1-nuke-p1.dem,9,3,2025-03-15,m1,nuke,14,11
76,5,spirit-vs-mouz-m1-nuke-p2.dem,11,7,2025-03-15,m1,nuke,11,14
77,5,spirit-vs-mouz-m2-dust2.dem,13,7,2025-03-15,m2,dust2,11,14
78,5,spirit-vs-mouz-m3-ancient.dem,13,10,2025-03-15,m3,ancient,14,11
79,5,spirit-vs-saw-m1-dust2.dem,13,1,2025-03-08,m1,dust2,11,39
80,5,spirit-vs-saw-m2-train.dem,13,8,2025-03-08,m2,train,11,39
81,5,spirit-vs-the-mongolz-m1-anubis.dem,13,6,2025-03-09,m1,anubis,11,12
82,5,spirit-vs-the-mongolz-m2-dust2.dem,13,11,2025-03-09,m2,dust2,11,12
83,5,spirit-vs-tyloo-m1-anubis-p1.dem,0,0,2025-03-07,m1,anubis,,
84,5,spirit-vs-tyloo-m1-anubis-p2.dem,13,10,2025-03-07,m1,anubis,11,70
85,5,spirit-vs-tyloo-m2-nuke.dem,13,6,2025-03-07,m2,nuke,11,70
86,5,the-mongolz-vs-3dmax-m1-dust2.dem,13,4,2025-03-10,m1,dust2,12,1
87,5,the-mongolz-vs-3dmax-m2-ancient.dem,13,7,2025-03-10,m2,ancient,12,1
88,5,the-mongolz-vs-gamerlegion-m1-inferno-p1.dem,0,0,2025-03-07,m1,inferno,,
89,5,the-mongolz-vs-gamerlegion-m1-inferno-p2.dem,10,9,2025-03-07,m1,inferno,12,10
90,5,the-mongolz-vs-gamerlegion-m2-mirage.dem,16,14,2025-03-07,m2,mirage,12,10
91,5,vitality-vs-3dmax-m1-train.dem,13,5,2025-03-08,m1,train,16,1
