,event_id,match_name,winner_score,defeated_score,match_date,game_number,map_name,winner_team_id,defeated_team_id
0,9,9z-vs-pain-m1-anubis.dem,13,11,2024-08-11,m1,anubis,114,24
1,9,9z-vs-pain-m2-dust2.dem,13,8,2024-08-11,m2,dust2,24,114
2,9,9z-vs-pain-m3-nuke.dem,13,9,2024-08-11,m3,nuke,24,114
3,9,astralis-vs-9z-m1-dust2.dem,13,10,2024-08-10,m1,dust2,8,114
4,9,astralis-vs-9z-m2-inferno.dem,13,5,2024-08-10,m2,inferno,8,114
5,9,astralis-vs-g2-m1-dust2.dem,13,1,2024-08-12,m1,dust2,7,8
6,9,astralis-vs-g2-m2-mirage.dem,13,10,2024-08-12,m2,mirage,8,7
7,9,astralis-vs-g2-m3-ancient.dem,13,3,2024-08-12,m3,ancient,7,8
8,9,astralis-vs-natus-vincere-m1-ancient.dem,13,4,2024-08-11,m1,ancient,15,8
9,9,astralis-vs-natus-vincere-m2-mirage.dem,13,7,2024-08-11,m2,mirage,15,8
10,9,complexity-vs-mouz-m1-vertigo.dem,13,9,2024-08-12,m1,vertigo,14,25
11,9,complexity-vs-mouz-m2-nuke.dem,13,11,2024-08-12,m2,nuke,14,25
12,9,falcons-vs-faze-m1-dust2.dem,16,13,2024-08-13,m1,dust2,4,6
13,9,falcons-vs-faze-m2-ancient-p1.dem,3,3,2024-08-13,m2,ancient,6,4
14,9,falcons-vs-faze-m2-ancient-p2.dem,10,3,2024-08-13,m2,ancient,4,6
15,9,faze-vs-liquid-m1-mirage.dem,13,11,2024-08-10,m1,mirage,4,13
16,9,faze-vs-liquid-m2-nuke.dem,13,10,2024-08-10,m2,nuke,4,13
17,9,faze-vs-vitality-m1-inferno.dem,13,8,2024-08-12,m1,inferno,4,16
18,9,faze-vs-vitality-m2-dust2.dem,16,12,2024-08-12,m2,dust2,16,4
19,9,faze-vs-vitality-m3-anubis.dem,13,9,2024-08-12,m3,anubis,16,4
20,9,g2-vs-pain-m1-nuke.dem,13,6,2024-08-13,m1,nuke,7,24
21,9,g2-vs-pain-m2-mirage.dem,13,1,2024-08-13,m2,mirage,7,24
22,9,g2-vs-saw-m1-nuke.dem,13,5,2024-08-10,m1,nuke,39,7
23,9,g2-vs-saw-m2-inferno.dem,13,10,2024-08-10,m2,inferno,39,7
24,9,g2-vs-spirit-m1-nuke.dem,13,3,2024-08-11,m1,nuke,7,11
25,9,g2-vs-spirit-m2-mirage.dem,13,1,2024-08-11,m2,mirage,7,11
26,9,liquid-vs-complexity-m1-ancient.dem,13,10,2024-08-13,m1,ancient,13,25
27,9,liquid-vs-complexity-m2-anubis.dem,13,5,2024-08-13,m2,anubis,13,25
28,9,liquid-vs-faze-m1-inferno.dem,13,9,2024-08-13,m1,inferno,4,13
29,9,liquid-vs-faze-m2-nuke.dem,16,13,2024-08-13,m2,nuke,13,4
30,9,liquid-vs-faze-m3-mirage.dem,16,13,2024-08-13,m3,mirage,4,13
31,9,liquid-vs-furia-m1-dust2.dem,16,13,2024-08-12,m1,dust2,13,9
32,9,liquid-vs-furia-m2-nuke.dem,13,4,2024-08-12,m2,nuke,13,9
33,9,mouz-vs-falcons-m1-nuke.dem,13,6,2024-08-11,m1,nuke,14,6
34,9,mouz-vs-falcons-m2-vertigo.dem,13,11,2024-08-11,m2,vertigo,6,14
35,9,mouz-vs-falcons-m3-ancient.dem,13,9,2024-08-11,m3,ancient,14,6
36,9,mouz-vs-g2-m1-dust2.dem,13,9,2024-08-16,m1,dust2,14,7
37,9,mouz-vs-g2-m2-mirage.dem,13,8,2024-08-16,m2,mirage,14,7
38,9,mouz-vs-vitality-m1-dust2.dem,13,6,2024-08-13,m1,dust2,16,14
39,9,mouz-vs-vitality-m2-vertigo.dem,16,13,2024-08-13,m2,vertigo,16,14
40,9,natus-vincere-vs-mouz-m1-inferno.dem,16,14,2024-08-17,m1,inferno,15,14
41,9,natus-vincere-vs-mouz-m2-mirage.dem,13,11,2024-08-17,m2,mirage,15,14
42,9,natus-vincere-vs-pain-m1-anubis.dem,13,4,2024-08-10,m1,anubis,15,24
43,9,natus-vincere-vs-pain-m2-mirage.dem,13,4,2024-08-10,m2,mirage,15,24
44,9,natus-vincere-vs-saw-m1-nuke.dem,13,9,2024-08-13,m1,nuke,39,15
45,9,natus-vincere-vs-saw-m2-ancient.dem,13,2,2024-08-13,m2,ancient,15,39
46,9,natus-vincere-vs-saw-m3-inferno.dem,13,6,2024-08-13,m3,inferno,15,39
47,9,saw-vs-faze-m1-inferno.dem,13,6,2024-08-16,m1,inferno,39,4
48,9,saw-vs-faze-m2-anubis.dem,13,11,2024-08-16,m2,anubis,4,39
49,9,saw-vs-faze-m3-nuke.dem,16,14,2024-08-16,m3,nuke,39,4
50,9,saw-vs-the-mongolz-m1-ancient.dem,16,13,2024-08-11,m1,ancient,12,39
51,9,saw-vs-the-mongolz-m2-nuke.dem,13,7,2024-08-11,m2,nuke,39,12
52,9,saw-vs-the-mongolz-m3-anubis.dem,13,10,2024-08-11,m3,anubis,39,12
53,9,spirit-vs-the-mongolz-m1-ancient.dem,16,13,2024-08-10,m1,ancient,12,11
54,9,spirit-vs-the-mongolz-m2-anubis.dem,13,4,2024-08-10,m2,anubis,12,11
55,9,the-mongolz-vs-pain-m1-anubis-p1.dem,11,5,2024-08-12,m1,anubis,12,24
56,9,the-mongolz-vs-pain-m1-anubis-p2.dem,8,5,2024-08-12,m1,anubis,24,12
57,9,the-mongolz-vs-pain-m2-mirage.dem,13,10,2024-08-12,m2,mirage,24,12
58,9,the-mongolz-vs-pain-m3-nuke.dem,13,8,2024-08-12,m3,nuke,24,12
59,9,virtuspro-vs-complexity-m1-vertigo-p1.dem,8,3,2024-08-10,m1,vertigo,25,5
60,9,virtuspro-vs-complexity-m1-vertigo-p2.dem,5,3,2024-08-10,m1,vertigo,25,5
61,9,virtuspro-vs-complexity-m2-dust2-p1.dem,7,5,2024-08-10,m2,dust2,25,5
62,9,virtuspro-vs-complexity-m2-dust2-p2.dem,11,7,2024-08-10,m2,dust2,5,25
63,9,virtuspro-vs-complexity-m3-anubis.dem,13,5,2024-08-10,m3,anubis,25,5
64,9,virtuspro-vs-falcons-m1-vertigo.dem,13,11,2024-08-12,m1,vertigo,6,5
65,9,virtuspro-vs-falcons-m2-mirage.dem,13,8,2024-08-12,m2,mirage,5,6
66,9,virtuspro-vs-falcons-m3-dust2.dem,13,8,2024-08-12,m3,dust2,6,5
67,9,vitality-vs-furia-m1-inferno-p1.dem,6,3,2024-08-11,m1,inferno,16,9
68,9,vitality-vs-furia-m1-inferno-p2.dem,0,0,2024-08-11,m1,inferno,,
69,9,vitality-vs-furia-m2-mirage.dem,13,2,2024-08-11,m2,mirage,16,9
70,9,vitality-vs-natus-vincere-m1-nuke.dem,16,14,2024-08-18,m1,nuke,16,15
71,9,vitality-vs-natus-vincere-m2-dust2.dem,13,10,2024-08-18,m2,dust2,15,16
72,9,vitality-vs-natus-vincere-m3-mirage.dem,22,20,2024-08-18,m3,mirage,16,15
73,9,vitality-vs-natus-vincere-m4-inferno.dem,13,9,2024-08-18,m4,inferno,16,15
74,9,vitality-vs-saw-m1-nuke.dem,13,6,2024-08-17,m1,nuke,16,39
75,9,vitality-vs-saw-m2-dust2.dem,13,5,2024-08-17,m2,dust2,16,39
