,steam_id,user_name,kills,headshots,wallbang_kills,assisted_flashes,trade_kills,no_scope,through_smoke,airborne_kills,blind_kills,victim_blind_kills,team_clan_name,awp_kills,pistol_kills,assists,deaths,trade_deaths,kd,k_d_diff,adr_total,adr_ct_side,adr_t_side,kast_total,kast_ct_side,kast_t_side,total_rounds_won,t_rounds_won,ct_rounds_won,first_kills,ct_first_kills,t_first_kills,first_deaths,ct_first_deaths,t_first_deaths,flashes_thrown,ct_flashes_thrown,t_flashes_thrown,flashes_thrown_in_pistol_round,he_thrown,ct_he_thrown,t_he_thrown,he_thrown_in_pistol_round,infernos_thrown,ct_infernos_thrown,t_infernos_thrown,infernos_thrown_in_pistol_round,smokes_thrown,ct_smokes_thrown,t_smokes_thrown,smokes_thrown_in_pistol_round,util_in_pistol_round,total_util_thrown,total_util_dmg,ct_total_util_dmg,t_total_util_dmg
0,76561197960690195,FalleN,110,40,4,3,26,0,10,0,0,3,FURIA,44,19,32,130,24,0.8461538461538461,-20,62.7967032967033,58.73684210526316,65.70754716981132,0.6868131868131868,0.6710526315789473,0.6981132075471698,83,34,49,38,20,18,46,16,30,219,66,153,11,26,18,8,0,82,29,53,3,142,39,103,7,21,469,522,100,422
1,76561197967432889,MAJ3R,174,88,4,8,53,0,14,1,3,8,Aurora,4,21,72,216,54,0.8055555555555556,-42,66.40894568690096,71.55688622754491,60.52054794520548,0.6964856230031949,0.7305389221556886,0.6575342465753424,168,88,80,60,40,20,60,42,18,262,88,174,15,104,68,36,2,168,88,80,2,274,113,161,9,28,808,1990,1128,862
2,76561197976393269,kaze,95,44,3,3,26,2,8,0,0,3,RARE ATOM,21,10,29,97,19,0.979381443298969,-2,69.33333333333333,79.83333333333333,57.46376811594203,0.6870748299319728,0.6538461538461539,0.7246376811594203,59,26,33,18,14,4,20,12,8,145,61,84,8,33,25,8,0,60,24,36,2,123,52,71,8,18,361,208,103,105
3,76561197982141573,Snax,177,95,4,12,41,0,17,0,0,12,G2 Esports,5,26,66,193,44,0.917098445595855,-16,66.37540453074433,64.48026315789474,68.21019108280255,0.7443365695792881,0.743421052631579,0.7452229299363057,166,69,97,58,28,30,68,30,38,268,79,189,17,153,95,58,1,215,100,115,1,262,117,145,17,36,898,1844,866,978
4,76561197983956651,Magisk,247,145,7,8,67,0,17,0,5,8,Team Falcons,1,29,96,270,64,0.9148148148148149,-23,70.13809523809523,72.33771929824562,67.52604166666667,0.7571428571428571,0.7543859649122807,0.7604166666666666,222,114,108,74,42,32,82,44,38,217,75,142,6,203,118,85,6,240,114,126,3,289,157,132,10,25,949,2326,1348,978
5,76561197987713664,device,191,60,7,10,45,1,24,2,2,10,Astralis,86,27,52,180,40,1.0611111111111111,11,73.69686411149826,80.05925925925926,68.04605263157895,0.710801393728223,0.7481481481481481,0.6776315789473685,138,62,76,60,44,16,58,28,30,257,72,185,7,72,49,23,0,129,49,80,2,204,65,139,11,20,662,1184,602,582
6,76561197989430253,karrigan,223,132,7,14,57,0,14,0,3,14,FaZe Clan,1,45,94,257,66,0.867704280155642,-34,68.0078947368421,65.86813186813187,69.97474747474747,0.7394736842105263,0.7417582417582418,0.7373737373737373,205,88,117,68,22,46,100,32,68,312,112,200,24,151,73,78,1,227,104,123,4,292,116,176,14,43,982,1899,862,1037
7,76561197995817501,FL1T,165,86,6,12,46,0,18,0,3,12,Virtus.pro,6,24,54,158,39,1.0443037974683544,7,76.09375,81.36153846153846,70.65873015873017,0.7421875,0.7538461538461538,0.7301587301587301,126,55,71,60,38,22,42,24,18,141,49,92,0,128,85,43,0,146,60,86,0,151,73,78,3,3,566,1514,789,725
8,76561197996678278,TeSeS,297,173,5,13,66,0,23,0,0,13,Team Falcons,1,64,89,278,85,1.0683453237410072,19,76.85308056872037,83.6359649122807,68.88144329896907,0.7417061611374408,0.7456140350877193,0.7371134020618557,222,114,108,86,42,44,92,44,48,197,79,118,7,115,109,6,1,195,98,97,2,281,155,126,4,14,788,1660,1329,331
9,76561197997351207,rain,229,135,6,15,56,0,20,1,1,15,FaZe Clan,1,46,77,256,74,0.89453125,-27,70.80526315789474,75.26373626373626,66.70707070707071,0.7052631578947368,0.7582417582417582,0.6565656565656566,205,88,117,74,36,38,70,30,40,159,79,80,4,213,122,91,3,237,111,126,2,252,130,122,3,12,861,1923,1167,756
10,76561198001151695,NAF-FLY,55,28,1,4,20,0,5,0,2,4,Team Liquid,4,11,21,90,13,0.6111111111111112,-35,55.8,50.70666666666666,62.74545454545454,0.6615384615384615,0.6,0.7454545454545455,49,25,24,10,4,6,10,10,0,60,27,33,2,55,34,21,0,66,36,30,2,89,50,39,1,5,270,512,233,279
11,76561198004115516,cadiaN,149,70,6,4,32,0,16,1,2,4,Astralis,15,24,62,197,45,0.7563451776649747,-48,66.49128919860627,64.35555555555555,68.38815789473684,0.686411149825784,0.725925925925926,0.6513157894736842,138,62,76,42,16,26,64,26,38,274,99,175,11,163,80,83,0,166,64,102,2,242,92,150,6,19,845,1675,877,798
12,76561198005107817,Staehr,193,103,6,21,53,1,22,0,0,21,Astralis,1,35,66,190,53,1.0157894736842106,3,76.39024390243902,68.13333333333334,83.72368421052632,0.759581881533101,0.7703703703703704,0.75,138,62,76,62,16,46,50,12,38,172,59,113,4,142,72,70,2,160,66,94,2,195,99,96,6,14,669,1826,785,1041
13,76561198012872053,huNter,197,125,4,14,43,0,18,1,2,14,G2 Esports,2,40,60,184,54,1.0706521739130435,13,69.05825242718447,70.63157894736842,67.53503184713375,0.7702265372168284,0.7828947368421053,0.7579617834394905,166,69,97,58,36,22,48,32,16,252,91,161,5,128,74,54,1,168,71,97,4,197,87,110,4,14,745,1866,773,1093
14,76561198013230247,Summer,90,49,0,1,29,0,4,0,0,1,RARE ATOM,2,15,27,112,23,0.8035714285714286,-22,72.31292517006803,59.32051282051282,87.0,0.6666666666666666,0.6025641025641025,0.7391304347826086,59,26,33,28,10,18,28,14,14,123,46,77,12,77,44,33,2,79,37,42,1,116,50,66,4,19,395,951,464,487
15,76561198013295375,bodyy,144,86,1,10,53,0,15,0,1,10,3DMAX,0,22,59,171,52,0.8421052631578947,-27,73.55217391304348,67.19834710743801,80.60550458715596,0.7695652173913043,0.7768595041322314,0.7614678899082569,109,50,59,56,30,26,46,20,26,174,80,94,3,125,70,55,1,107,53,54,0,142,74,68,3,7,548,1316,601,715
16,76561198014259134,FL4MUS,138,85,2,8,46,0,19,0,3,8,Virtus.pro,0,21,49,171,53,0.8070175438596491,-33,64.3828125,67.93076923076923,60.72222222222222,0.73046875,0.7153846153846154,0.746031746031746,126,55,71,42,26,16,48,24,24,147,72,75,0,61,44,17,0,155,80,75,0,151,84,67,2,2,514,906,703,203
17,76561198015308884,biguzera,124,68,2,8,36,0,16,0,0,8,paiN Gaming,3,17,42,139,32,0.8920863309352518,-15,76.91709844559585,87.31868131868131,67.63725490196079,0.6787564766839378,0.7362637362637363,0.6274509803921569,89,38,51,44,22,22,54,26,28,163,73,90,9,102,59,43,2,114,47,67,3,172,64,108,5,19,551,1331,785,546
18,76561198016255205,Twistzz,95,50,3,4,28,0,6,0,1,4,Team Liquid,1,20,14,84,9,1.130952380952381,11,76.66153846153846,76.33333333333333,77.10909090909091,0.7153846153846154,0.7333333333333333,0.6909090909090909,49,25,24,20,12,8,12,2,10,92,50,42,1,49,35,14,0,69,38,31,0,91,48,43,0,1,301,413,266,147
19,76561198021715100,JT,217,117,3,11,58,0,27,1,4,11,Complexity,0,34,108,229,62,0.9475982532751092,-12,71.16022099447514,69.03703703703704,73.47976878612717,0.712707182320442,0.7354497354497355,0.6878612716763006,194,87,107,68,32,36,74,36,38,360,146,214,29,153,95,58,1,204,96,108,4,257,119,138,13,47,974,1569,905,664
20,76561198022365638,stavn,217,114,5,11,48,1,30,1,2,11,Astralis,1,39,73,182,38,1.1923076923076923,35,83.2369337979094,89.4,77.76315789473684,0.7386759581881533,0.8,0.6842105263157895,138,62,76,66,48,18,54,26,28,190,66,124,4,156,94,62,5,148,70,78,3,183,76,107,5,17,677,1835,1048,787
21,76561198031890115,Lucky,147,60,4,13,28,0,14,0,2,13,3DMAX,5,30,63,152,35,0.9671052631578947,-5,74.43290043290044,78.80165289256199,69.62727272727273,0.7359307359307359,0.743801652892562,0.7272727272727273,109,50,59,38,22,16,40,18,22,79,40,39,3,128,69,59,2,131,65,66,0,98,49,49,0,5,436,1799,1092,707
22,76561198031890115,ICON,147,60,4,13,28,0,14,0,2,13,3DMAX,5,30,63,152,35,0.9671052631578947,-5,74.43290043290044,78.80165289256199,69.62727272727273,0.7359307359307359,0.743801652892562,0.7272727272727273,109,50,59,38,22,16,40,18,22,79,40,39,3,128,69,59,2,131,65,66,0,98,49,49,0,5,436,1799,1092,707
23,76561198034172415,REZ,174,109,6,6,48,0,12,0,1,6,GamerLegion,0,35,70,170,42,1.0235294117647058,4,79.93650793650794,91.99159663865547,69.15037593984962,0.7261904761904762,0.773109243697479,0.6842105263157895,138,64,74,58,24,34,78,26,52,160,80,80,3,105,59,46,1,137,65,72,1,173,79,94,2,7,575,1294,602,692
24,76561198041683378,NiKo,324,163,8,19,76,0,38,0,11,19,Team Falcons,3,69,95,284,51,1.1408450704225352,40,85.68009478672985,94.64035087719299,75.14948453608247,0.7440758293838863,0.7850877192982456,0.6958762886597938,222,114,108,114,70,44,88,46,42,243,125,118,7,260,171,89,4,271,141,130,2,246,134,112,5,18,1020,2759,2215,544
25,76561198044045107,electroNic,158,65,2,7,45,0,16,2,2,7,Virtus.pro,1,18,66,187,55,0.8449197860962567,-29,72.32421875,73.73846153846154,70.86507936507937,0.671875,0.6923076923076923,0.6507936507936508,126,55,71,52,26,26,74,22,52,259,96,163,21,91,71,20,3,157,66,91,7,205,85,120,10,41,712,1861,1343,518
26,76561198044118796,XANTARES,231,128,7,7,56,0,18,2,2,7,Aurora,1,26,77,195,57,1.1846153846153846,36,83.33226837060703,81.1377245508982,85.84246575342466,0.7507987220447284,0.8023952095808383,0.6917808219178082,168,88,80,56,24,32,86,40,46,136,63,73,1,149,104,45,0,168,78,90,1,157,95,62,2,4,610,2017,1512,505
27,76561198045397601,SOMEBODY,91,41,4,5,34,0,8,1,4,5,RARE ATOM,4,12,21,111,26,0.8198198198198198,-20,68.81632653061224,64.26923076923077,73.95652173913044,0.6598639455782312,0.6410256410256411,0.6811594202898551,59,26,33,24,16,8,40,22,18,79,35,44,0,48,20,28,0,52,24,28,0,57,32,25,0,0,236,243,152,91
28,76561198045739761,Maka,153,60,6,4,38,1,17,1,2,4,3DMAX,45,19,42,150,40,1.02,3,73.17391304347827,74.31404958677686,71.90825688073394,0.7434782608695653,0.7520661157024794,0.7339449541284404,109,50,59,50,32,18,46,16,30,242,102,140,3,100,62,38,2,142,57,85,2,203,85,118,5,12,687,1130,840,290
29,76561198045739761,夢 GOATESK ❦🌊🐐,153,60,6,4,38,1,17,1,2,4,3DMAX,45,19,42,150,40,1.02,3,73.17391304347827,74.31404958677686,71.90825688073394,0.7434782608695653,0.7520661157024794,0.7339449541284404,109,50,59,50,32,18,46,16,30,242,102,140,3,100,62,38,2,142,57,85,2,203,85,118,5,12,687,1130,840,290
30,76561198053126645,NertZ,68,36,1,0,22,0,5,0,1,0,Team Liquid,0,9,22,99,28,0.6868686868686869,-31,67.38461538461539,68.52,65.83636363636364,0.6307692307692307,0.6,0.6727272727272727,49,25,24,32,18,14,42,22,20,66,34,32,1,51,29,22,0,62,38,24,0,77,47,30,3,4,256,613,240,373
31,76561198055109028,ICY,176,55,4,5,37,1,17,0,3,5,Virtus.pro,92,38,40,137,26,1.2846715328467153,39,66.3671875,61.753846153846155,71.12698412698413,0.7734375,0.7615384615384615,0.7857142857142857,126,55,71,54,26,28,30,16,14,186,63,123,4,38,36,2,0,80,31,49,0,178,61,117,2,6,482,614,322,292
32,76561198057282432,kyxsan,255,140,7,12,71,1,26,1,5,12,Team Falcons,0,40,113,289,93,0.8823529411764706,-34,73.59004739336493,70.63157894736842,77.06701030927834,0.7440758293838863,0.7587719298245614,0.7268041237113402,222,114,108,76,38,38,72,28,44,223,80,143,26,205,140,65,3,272,138,134,9,387,182,205,23,61,1087,2825,1654,1171
33,76561198058500492,KSCERATO,144,76,5,9,30,0,19,0,0,9,FURIA,5,24,52,122,25,1.180327868852459,22,88.44505494505495,101.1842105263158,79.31132075471699,0.7362637362637363,0.7236842105263158,0.7452830188679245,83,34,49,36,22,14,40,16,24,147,46,101,10,104,53,51,4,116,41,75,1,172,65,107,7,22,539,1773,995,778
34,76561198060367310,hallzerk,264,129,17,9,64,1,32,0,4,9,Complexity,84,45,100,220,56,1.2,44,78.08563535911603,79.67724867724868,76.34682080924856,0.8011049723756906,0.8095238095238095,0.791907514450867,194,87,107,96,62,34,44,28,16,285,111,174,17,137,92,45,1,135,54,81,1,194,77,117,8,27,751,2041,1360,681
35,76561198061763596,n1ssim,129,61,3,3,38,0,15,0,0,3,LEGACY,2,16,63,163,38,0.7914110429447853,-34,71.77056277056278,80.59433962264151,64.288,0.6883116883116883,0.7264150943396226,0.656,113,49,64,34,22,12,44,10,34,123,51,72,1,100,46,54,0,125,58,67,1,153,68,85,1,3,501,864,256,608
36,76561198066693739,EliGE,284,162,14,15,64,0,25,0,0,15,FaZe Clan,3,57,97,260,70,1.0923076923076922,24,83.3,81.45054945054945,85.0,0.7421052631578947,0.7417582417582418,0.7424242424242424,205,88,117,92,48,44,98,52,46,207,101,106,2,190,118,72,1,219,96,123,0,223,96,127,6,9,839,1806,1060,746
37,76561198067763828,chelo,105,62,3,8,22,0,9,1,0,8,FURIA,2,26,33,128,32,0.8203125,-23,62.120879120879124,62.36842105263158,61.943396226415096,0.6758241758241759,0.7894736842105263,0.5943396226415094,83,34,49,52,26,26,52,10,42,122,32,90,0,51,33,18,2,87,28,59,0,106,44,62,2,4,366,700,331,369
38,76561198068002993,HeavyGoD,235,138,9,18,56,0,21,2,1,18,G2 Esports,2,48,68,177,51,1.3276836158192091,58,81.32362459546925,82.40789473684211,80.27388535031847,0.8090614886731392,0.8157894736842105,0.802547770700637,166,69,97,52,28,24,44,22,22,215,96,119,7,96,73,23,0,187,94,93,2,221,114,107,4,13,719,1097,701,396
39,76561198068422762,frozen,289,161,12,6,67,0,25,0,2,6,FaZe Clan,0,39,101,239,55,1.209205020920502,50,85.56315789473685,88.04395604395604,83.28282828282828,0.7473684210526316,0.7417582417582418,0.7525252525252525,205,88,117,68,36,32,76,34,42,204,71,133,5,138,68,70,2,174,77,97,1,244,103,141,5,13,760,1619,859,760
40,76561198074017668,Lux,156,84,8,6,40,1,17,1,3,6,LEGACY,0,22,52,163,39,0.9570552147239264,-7,77.27705627705627,86.14150943396227,69.76,0.7012987012987013,0.7358490566037735,0.672,113,49,64,56,34,22,90,40,50,149,50,99,1,94,53,41,0,137,59,78,1,159,73,86,2,4,539,1613,917,696
41,76561198074762801,m0NESY,247,76,10,7,37,1,26,0,4,7,G2 Esports,150,17,70,181,55,1.3646408839779005,66,84.16828478964402,92.05263157894737,76.53503184713375,0.7734627831715211,0.7302631578947368,0.8152866242038217,166,69,97,86,48,38,52,26,26,256,92,164,3,51,37,14,1,127,54,73,2,183,80,103,2,8,617,1025,570,455
42,76561198077677671,Prism,126,76,1,9,32,0,12,1,7,9,Betclic Apogee,0,32,49,162,39,0.7777777777777778,-36,76.8075117370892,71.41071428571429,82.79207920792079,0.6431924882629108,0.6785714285714286,0.6039603960396039,96,49,47,48,26,22,62,30,32,144,72,72,4,104,73,31,0,134,68,66,2,148,68,80,4,10,530,1009,580,429
43,76561198080114546,fame,173,102,4,10,46,0,17,0,3,10,Virtus.pro,3,26,44,170,52,1.0176470588235293,3,75.4921875,74.9076923076923,76.0952380952381,0.7421875,0.7230769230769231,0.7619047619047619,126,55,71,50,24,26,68,38,30,126,45,81,2,55,38,17,0,118,56,62,1,151,82,69,6,9,450,652,323,329
44,76561198080703143,malbsMd,190,133,13,8,46,0,23,0,4,8,G2 Esports,1,45,67,212,76,0.8962264150943396,-22,69.90938511326861,65.01973684210526,74.64331210191082,0.7508090614886731,0.756578947368421,0.7452229299363057,166,69,97,72,18,54,84,34,50,175,84,91,4,136,82,54,2,181,91,90,1,202,106,96,3,10,694,1945,1156,789
45,76561198083485506,woxic,220,82,9,7,34,0,24,1,2,7,Aurora,125,14,48,179,49,1.229050279329609,41,73.65175718849841,77.8622754491018,68.83561643835617,0.7859424920127795,0.7904191616766467,0.7808219178082192,168,88,80,76,50,26,44,24,20,218,80,138,6,61,52,9,1,131,73,58,1,169,67,102,10,18,579,837,536,301
46,76561198098071693,sl3nd,182,52,7,3,46,4,19,0,1,3,GamerLegion,82,32,54,154,39,1.1818181818181819,28,75.82936507936508,80.78151260504201,71.3984962406015,0.7738095238095238,0.7815126050420168,0.7669172932330827,138,64,74,54,44,10,32,14,18,212,67,145,9,92,48,44,0,109,52,57,1,145,50,95,4,14,558,1434,799,635
47,76561198100494962,saadzin,135,59,4,5,30,0,11,1,2,5,LEGACY,56,19,31,140,39,0.9642857142857143,-5,61.81385281385281,58.990566037735846,64.208,0.7532467532467533,0.7641509433962265,0.744,113,49,64,40,26,14,12,8,4,210,63,147,16,44,29,15,2,112,44,68,1,181,53,128,7,26,547,824,328,496
48,76561198107012488,Demho,134,67,6,5,32,0,9,1,2,5,Betclic Apogee,1,19,42,143,37,0.9370629370629371,-9,71.27699530516432,75.8125,66.24752475247524,0.7183098591549296,0.7946428571428571,0.6336633663366337,96,49,47,32,16,16,32,8,24,87,26,61,2,92,58,34,1,104,53,51,3,134,67,67,3,9,417,1010,582,428
49,76561198118646644,skullz,83,57,0,3,26,0,5,0,0,3,FURIA,0,20,26,124,22,0.6693548387096774,-41,54.77472527472528,55.026315789473685,54.594339622641506,0.6758241758241759,0.7631578947368421,0.6132075471698113,83,34,49,14,6,8,34,10,24,93,33,60,2,77,36,41,2,104,45,59,2,111,57,54,2,8,385,1092,386,706
50,76561198120491311,dav1deu$,135,89,10,7,38,0,16,0,1,7,paiN Gaming,0,21,41,134,30,1.007462686567164,1,79.01036269430051,80.82417582417582,77.3921568627451,0.6735751295336787,0.6923076923076923,0.6568627450980392,89,38,51,44,12,32,48,16,32,51,13,38,0,80,37,43,0,103,40,63,1,86,44,42,1,2,320,942,273,669
51,76561198120557348,jabbi,176,108,2,6,47,1,14,1,1,6,Astralis,2,23,68,209,51,0.8421052631578947,-33,66.28222996515679,74.16296296296296,59.2828947368421,0.6759581881533101,0.7037037037037037,0.6513157894736842,138,62,76,50,24,26,72,30,42,174,65,109,4,115,63,52,0,164,71,93,2,169,82,87,4,10,622,1049,482,567
52,76561198150673360,siuhy,71,35,2,3,22,0,5,0,0,3,Team Liquid,0,10,29,96,27,0.7395833333333334,-25,72.26984126984127,77.18666666666667,65.03921568627452,0.6461538461538462,0.7066666666666667,0.5636363636363636,49,25,24,24,16,8,38,18,20,114,45,69,4,47,36,11,1,64,32,32,1,90,43,47,3,9,315,497,294,203
53,76561198164970560,yuurih,119,64,7,14,33,0,15,1,0,14,FURIA,1,29,60,123,35,0.967479674796748,-4,80.75824175824175,85.51315789473684,77.34905660377359,0.7802197802197802,0.75,0.8018867924528302,83,34,49,30,16,14,24,10,14,165,60,105,4,60,36,24,0,104,43,61,1,110,53,57,4,9,439,1096,382,714
