,steam_id,kills,headshots,wallbang_kills,no_scope,through_smoke,airborne_kills,blind_kills,victim_blind_kills,awp_kills,pistol_kills,first_kills,ct_first_kills,t_first_kills,first_deaths,ct_first_deaths,t_first_deaths,ct_kills,t_kills,ct_assisted_flashes,t_assisted_flashes,2k,3k,4k,5k,event_id
0,76561197960499780,9,6,0,0,1,0,0,0,0,2,6.0,6.0,0.0,2.0,0.0,2.0,8,1,0,0,1,1,0,0,11
1,76561197982141573,9,5,0,0,2,0,0,1,0,0,,,,,,,7,2,1,0,1,0,0,0,11
2,76561197995817501,17,8,1,0,2,0,1,2,0,3,4.0,2.0,2.0,6.0,6.0,0.0,5,12,0,2,4,0,1,0,11
3,76561198014259134,13,9,0,0,1,0,0,0,0,1,8.0,4.0,4.0,2.0,0.0,2.0,6,7,0,0,1,0,0,0,11
4,76561198044045107,12,1,0,0,2,0,0,0,0,1,8.0,2.0,6.0,2.0,0.0,2.0,6,6,0,0,3,0,0,0,11
5,76561198050922008,14,5,0,0,0,0,1,1,5,2,6.0,6.0,0.0,6.0,4.0,2.0,10,4,1,0,5,0,0,0,11
6,76561198055109028,12,4,0,0,2,0,0,0,5,3,2.0,0.0,2.0,2.0,2.0,0.0,2,10,0,0,1,0,0,0,11
7,76561198064353169,13,6,0,0,3,0,1,3,4,3,4.0,2.0,2.0,10.0,6.0,4.0,3,10,0,3,2,0,0,0,11
8,76561198068002993,18,10,1,0,2,0,0,0,0,4,4.0,4.0,0.0,2.0,0.0,2.0,11,7,0,0,2,2,0,0,11
9,76561198080114546,24,13,2,0,0,0,0,2,0,4,8.0,2.0,6.0,,,,9,15,0,2,1,5,0,0,11
10,76561198080703143,19,12,0,0,2,1,0,2,0,3,6.0,2.0,4.0,8.0,2.0,6.0,9,10,0,2,2,3,0,0,11
11,76561198183003671,24,10,0,0,2,0,0,1,0,4,8.0,2.0,6.0,6.0,0.0,6.0,11,13,0,1,1,0,1,0,11
12,76561198190463461,25,15,0,0,2,0,0,3,0,10,,,,,,,14,11,3,0,6,2,0,0,11
13,76561198334814829,27,15,1,0,3,0,1,3,1,6,6.0,6.0,0.0,4.0,4.0,0.0,16,11,2,1,3,2,0,0,11
14,76561198337484196,34,10,0,0,5,0,1,3,0,2,14.0,8.0,6.0,20.0,6.0,14.0,22,12,2,1,10,1,1,0,11
