,id,round_num,start,freeze_end,end,official_end,winner,reason,bomb_plant,bomb_site,ct_team_clan_name,t_team_clan_name,winner_clan_name,ct_team_current_equip_value,t_team_current_equip_value,ct_losing_streak,t_losing_streak,ct_buy_type,t_buy_type,advantage_5v4,file_id,event_id,match_name
0,1,1,1,1267,5426,5746,ct,t_killed,,not_planted,3DMAX,BIG,3DMAX,4400,4250,0,0,Pistol,Pistol,t,3468,1,3dmax-vs-big-m1-ancient.dem
1,2,2,5746,13030,17750,18070,ct,bomb_defused,15871.0,bombsite_b,3DMAX,BIG,3DMAX,21000,1800,0,2,Full Buy,Full Eco,ct,3468,1,3dmax-vs-big-m1-ancient.dem
2,3,3,18070,19350,26576,26896,t,bomb_exploded,23952.0,bombsite_b,3DMAX,BIG,BIG,23050,24950,0,3,Full Buy,Full Buy,t,3468,1,3dmax-vs-big-m1-ancient.dem
3,4,4,26896,28176,35451,35771,ct,bomb_defused,34260.0,bombsite_b,3DMAX,BIG,3DMAX,17900,27850,1,1,Semi-Buy,Full Buy,t,3468,1,3dmax-vs-big-m1-ancient.dem
4,5,5,35771,37051,44609,44929,t,ct_killed,43540.0,bombsite_b,3DMAX,BIG,BIG,27800,23000,0,2,Full Buy,Full Buy,ct,3468,1,3dmax-vs-big-m1-ancient.dem
5,6,6,44929,49008,54032,54352,t,ct_killed,52890.0,bombsite_b,3DMAX,BIG,BIG,2700,25200,1,0,Full Eco,Full Buy,t,3468,1,3dmax-vs-big-m1-ancient.dem
6,7,7,54352,61416,66657,66977,t,ct_killed,,not_planted,3DMAX,BIG,BIG,2300,28050,2,0,Full Eco,Full Buy,t,3468,1,3dmax-vs-big-m1-ancient.dem
7,8,8,66977,68257,74583,74903,ct,t_killed,,not_planted,3DMAX,BIG,3DMAX,26100,28250,3,0,Full Buy,Full Buy,ct,3468,1,3dmax-vs-big-m1-ancient.dem
8,9,9,74903,76183,83405,83725,t,ct_killed,83248.0,bombsite_b,3DMAX,BIG,BIG,29050,26600,1,1,Full Buy,Full Buy,t,3468,1,3dmax-vs-big-m1-ancient.dem
9,10,10,83725,87278,94037,94357,t,ct_killed,92546.0,bombsite_b,3DMAX,BIG,BIG,5350,27250,2,0,Semi-Eco,Full Buy,ct,3468,1,3dmax-vs-big-m1-ancient.dem
10,11,11,94357,95637,99202,99522,ct,t_killed,,not_planted,3DMAX,BIG,3DMAX,25550,27250,3,0,Full Buy,Full Buy,t,3468,1,3dmax-vs-big-m1-ancient.dem
11,12,12,99522,100802,103478,104022,ct,t_killed,,not_planted,3DMAX,BIG,3DMAX,29850,12650,1,1,Full Buy,Semi-Buy,ct,3468,1,3dmax-vs-big-m1-ancient.dem
12,13,13,104022,119533,126231,126551,ct,t_killed,,not_planted,BIG,3DMAX,BIG,4200,5050,1,1,Pistol,Pistol,t,3468,1,3dmax-vs-big-m1-ancient.dem
13,14,14,126551,127831,133317,133637,ct,bomb_defused,131466.0,bombsite_b,BIG,3DMAX,BIG,19750,4300,0,2,Semi-Buy,Full Eco,t,3468,1,3dmax-vs-big-m1-ancient.dem
14,15,15,133637,134917,142277,142597,ct,time_ran_out,,not_planted,BIG,3DMAX,BIG,25150,23500,0,3,Full Buy,Full Buy,ct,3468,1,3dmax-vs-big-m1-ancient.dem
15,16,16,142597,143877,147511,147831,t,ct_killed,145524.0,bombsite_b,BIG,3DMAX,3DMAX,22600,10950,0,4,Full Buy,Semi-Buy,ct,3468,1,3dmax-vs-big-m1-ancient.dem
16,17,17,147831,149111,152375,152695,t,ct_killed,,not_planted,BIG,3DMAX,3DMAX,1000,26000,1,2,Full Eco,Full Buy,t,3468,1,3dmax-vs-big-m1-ancient.dem
17,18,18,152695,153975,159280,159600,t,bomb_exploded,156656.0,bombsite_b,BIG,3DMAX,3DMAX,23200,25200,2,1,Full Buy,Full Buy,ct,3468,1,3dmax-vs-big-m1-ancient.dem
