,steam_id,user_name,kills,headshots,wallbang_kills,assisted_flashes,trade_kills,no_scope,through_smoke,airbone_kills,blind_kills,victim_blind_kills,team_clan_name,awp_kills,pistol_kills,assists,deaths,trade_deaths,kd,k_d_diff,adr_total,adr_ct_side,adr_t_side,kast_total,kast_ct_side,kast_t_side,total_rounds_won,t_rounds_won,ct_rounds_won,first_kills,ct_first_kills,t_first_kills,first_deaths,ct_first_deaths,t_first_deaths,flahes_thrown,ct_flahes_thrown,t_flahes_thrown,flahes_thrown_in_pistol_round,he_thrown,ct_he_thrown,t_he_thrown,he_thrown_in_pistol_round,infernos_thrown,ct_infernos_thrown,t_infernos_thrown,infernos_thrown_in_pistol_round,smokes_thrown,ct_smokes_thrown,t_smokes_thrown,smokes_thrown_in_pistol_round,util_in_pistol_round,total_util_thrown,total_util_dmg,ct_total_util_dmg,t_total_util_dmg
0,76561197960690195,FalleN,61,24,1,5,19,0,3,0,2,5,FURIA,34,11,19,72,15,0.8472222222222222,-11,59.65686274509804,66.14,53.42307692307692,0.696078431,0.72,0.6730769230769231,42,16,26,22,14,8,22,8,14,115,36,79,10,16,11,5,0,36,15,21,1,84,21,63,4,15,251,203,68,135
1,76561197961491680,tabseN,73,38,2,5,23,0,5,0,0,5,BIG,0,15,23,81,26,0.9012345679012346,-8,77.58333333333333,77.22033898305085,78.02040816,0.7037037037037037,0.6949152542372882,0.7142857142857143,47,22,25,16,8,8,20,6,14,81,41,40,3,52,38,14,0,58,32,26,2,77,38,39,4,9,268,991,549,442
2,76561197967432889,MAJ3R,176,84,3,3,50,0,9,0,2,3,Eternal Fire,5,21,79,198,60,0.8888888888888888,-22,67.45573770491804,64.77070063694268,70.30405405405405,0.7475409836065574,0.7452229299363057,0.75,158,79,79,42,18,24,40,14,26,270,113,157,14,134,74,60,2,188,91,97,5,282,111,171,11,32,874,2152,857,1295
3,76561197973140692,mezii,188,108,10,13,48,0,20,0,6,13,Team Vitality,0,23,51,163,45,1.1533742331288344,25,70.48351648351648,70.96875,70.05517241,0.8058608058608059,0.8359375,0.7793103448275862,165,71,94,32,18,14,48,14,34,180,78,102,2,103,56,47,0,160,73,87,0,199,78,121,4,6,642,1205,476,729
4,76561197977105184,jks,98,48,2,5,31,0,7,0,1,5,Team Liquid,0,17,37,93,23,1.053763440860215,5,68.79605263157895,73.11538461538461,64.24324324324324,0.7894736842105263,0.8205128205128205,0.7567567567567568,76,37,39,14,8,6,26,18,8,93,38,55,1,40,35,5,0,75,40,35,0,89,43,46,0,1,297,399,178,221
5,76561197978835160,flameZ,202,118,8,17,58,0,16,3,1,17,Team Vitality,0,30,79,193,61,1.0466321243523315,9,85.39194139194139,88.8359375,82.35172413793103,0.7582417582417582,0.75,0.7655172413793103,165,71,94,92,46,46,66,20,46,175,73,102,2,115,68,47,1,172,85,87,2,160,89,71,3,8,622,1370,677,693
6,76561197982141573,Snax,103,48,2,7,33,0,14,0,1,7,G2 Esports,4,17,46,129,34,0.7984496124031008,-26,63.455497382198956,67.36458333333333,59.50526315789474,0.7015706806282722,0.7604166666666666,0.6421052631578947,90,49,41,32,14,18,38,12,26,134,47,87,3,75,52,23,0,118,59,59,1,131,61,70,5,9,458,999,554,445
7,76561197983956651,Magisk,66,39,1,4,27,0,3,0,3,4,Team Falcons,0,21,26,76,15,0.868421053,-10,70.28846153846153,81.59615384615384,58.98076923076923,0.7211538461538461,0.7692307692307693,0.6730769230769231,45,20,25,16,10,6,18,8,10,48,18,30,3,43,29,14,1,46,21,25,1,73,37,36,2,7,210,712,616,96
8,76561197987713664,dev1ce,94,35,2,4,24,0,9,0,2,4,Astralis,20,20,30,98,21,0.9591836734693877,-4,75.25174825174825,79.33783783783784,70.86956522,0.6923076923076923,0.7162162162162162,0.6666666666666666,57,24,33,28,20,8,18,8,10,82,20,62,6,48,35,13,0,60,28,32,2,84,35,49,2,10,274,1043,727,316
9,76561197989430253,karrigan,159,72,5,8,51,0,14,0,4,8,FaZe Clan,0,22,56,196,61,0.8112244897959183,-37,61.73913043478261,68.80985915492958,54.24626865671642,0.7137681159420289,0.7464788732394366,0.6791044776119403,132,67,65,38,22,16,72,30,42,228,79,149,7,103,73,30,1,192,105,87,6,208,95,113,5,19,731,1240,603,637
10,76561197989744167,apEX,175,89,15,7,46,0,16,1,2,7,Team Vitality,0,13,84,176,45,0.9943181818181818,-1,77.27106227106228,84.90625,70.53103448275863,0.7362637362637363,0.75,0.7241379310344828,165,71,94,62,36,26,28,8,20,216,68,148,10,138,87,51,3,161,68,93,3,163,79,84,4,20,678,2786,1762,1024
