raw_name,canonical_name,normalization_type,timestamp
Falcons,Team Falcons,STATIC,2026-01-29T18:22:25.537007
MOUZ,MOUZ,NEW_TEAM,2026-01-29T18:22:25.537007
Falcons,Team Falcons,STATIC,2026-01-29T18:22:25.540521
MOUZ,MOUZ,NEW_TEAM,2026-01-29T18:22:25.540521
Falcons,Team Falcons,STATIC,2026-01-29T18:22:25.542524
MOUZ,MOUZ,NEW_TEAM,2026-01-29T18:22:25.543525
Falcons,Team Falcons,STATIC,2026-01-29T18:22:25.545524
MOUZ,MOUZ,NEW_TEAM,2026-01-29T18:22:25.546525
Falcons,Team Falcons,STATIC,2026-01-29T18:22:25.548028
MOUZ,MOUZ,NEW_TEAM,2026-01-29T18:22:25.549033
Falcons,Team Falcons,STATIC,2026-01-29T18:22:25.551036
MOUZ,MOUZ,NEW_TEAM,2026-01-29T18:22:25.552037
Falcons,Team Falcons,STATIC,2026-01-29T18:22:25.554036
MOUZ,MOUZ,NEW_TEAM,2026-01-29T18:22:25.555036
Falcons,Team Falcons,STATIC,2026-01-29T18:22:25.557036
MOUZ,MOUZ,NEW_TEAM,2026-01-29T18:22:25.557036
Falcons,Team Falcons,STATIC,2026-01-29T18:22:25.559544
MOUZ,MOUZ,NEW_TEAM,2026-01-29T18:22:25.559544
Falcons,Team Falcons,STATIC,2026-01-29T18:22:25.562553
MOUZ,MOUZ,NEW_TEAM,2026-01-29T18:22:25.562553
Falcons,Team Falcons,STATIC,2026-01-29T18:22:25.564549
MOUZ,MOUZ,NEW_TEAM,2026-01-29T18:22:25.565549
Falcons,Team Falcons,STATIC,2026-01-29T18:22:25.568051
MOUZ,MOUZ,NEW_TEAM,2026-01-29T18:22:25.568051
MOUZ,MOUZ,NEW_TEAM,2026-01-29T18:22:25.571062
Falcons,Team Falcons,STATIC,2026-01-29T18:22:25.571062
MOUZ,MOUZ,NEW_TEAM,2026-01-29T18:22:25.573061
Falcons,Team Falcons,STATIC,2026-01-29T18:22:25.574062
MOUZ,MOUZ,NEW_TEAM,2026-01-29T18:22:25.576061
