raw_name,canonical_name,normalization_type,timestamp
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.932694
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.933693
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.935693
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.935693
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.938205
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.938205
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.940211
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.941210
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.943211
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.943211
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.945210
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.945210
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.947718
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.948224
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.950229
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.950229
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.953229
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.953229
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.955229
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.955229
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.957738
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.957738
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.959743
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.960743
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.961742
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.962743
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.964747
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.964747
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.967248
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.967248
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.970260
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.970260
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.972259
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.972259
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.975258
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.975258
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.976762
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.976762
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.979773
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.979773
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.981774
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.981774
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.984775
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.984775
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.987279
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.988287
OG CS2,OG Esports,STATIC,2026-02-12T11:07:25.990292
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:25.991293
OG CS2,OG Esports,STATIC,2026-02-12T11:07:42.963333
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:42.964333
OG CS2,OG Esports,STATIC,2026-02-12T11:07:42.966841
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:42.966841
OG CS2,OG Esports,STATIC,2026-02-12T11:07:42.969855
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:42.970855
OG CS2,OG Esports,STATIC,2026-02-12T11:07:42.972854
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:42.972854
OG CS2,OG Esports,STATIC,2026-02-12T11:07:42.975363
FUT Esports,FUT Esports,STATIC_CANONICAL,2026-02-12T11:07:42.975363
OG CS2,OG Esports,STATIC,2026-02-12T11:07:42.976867
