raw_name,canonical_name,normalization_type,timestamp
FaZe,FaZe Clan,STATIC,2026-01-29T20:56:04.929478
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.929478
FaZe,FaZe Clan,STATIC,2026-01-29T20:56:04.931989
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.932989
FaZe,FaZe Clan,STATIC,2026-01-29T20:56:04.934993
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.934993
FaZe,FaZe Clan,STATIC,2026-01-29T20:56:04.936993
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.937993
FaZe,FaZe Clan,STATIC,2026-01-29T20:56:04.938993
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.939993
FaZe,FaZe Clan,STATIC,2026-01-29T20:56:04.941496
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.942501
FaZe,FaZe Clan,STATIC,2026-01-29T20:56:04.944504
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.945504
FaZe,FaZe Clan,STATIC,2026-01-29T20:56:04.947505
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.948505
FaZe,FaZe Clan,STATIC,2026-01-29T20:56:04.949505
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.951007
FaZe,FaZe Clan,STATIC,2026-01-29T20:56:04.953012
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.953012
FaZe,FaZe Clan,STATIC,2026-01-29T20:56:04.955015
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.956016
FaZe,FaZe Clan,STATIC,2026-01-29T20:56:04.958015
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.958015
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.960015
FaZe,FaZe Clan,STATIC,2026-01-29T20:56:04.961015
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.962524
FaZe,FaZe Clan,STATIC,2026-01-29T20:56:04.963527
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.965527
FaZe,FaZe Clan,STATIC,2026-01-29T20:56:04.965527
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.967527
FaZe,FaZe Clan,STATIC,2026-01-29T20:56:04.968527
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.969527
FaZe,FaZe Clan,STATIC,2026-01-29T20:56:04.969527
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.973034
FaZe,FaZe Clan,STATIC,2026-01-29T20:56:04.973034
Astralis,Astralis,NEW_TEAM,2026-01-29T20:56:04.975038
