raw_name,canonical_name,normalization_type,timestamp
Fnatic,Fnatic,NEW_TEAM,2026-02-08T22:47:25.454787
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-08T22:47:25.455787
Fnatic,Fnatic,NEW_TEAM,2026-02-08T22:47:25.458787
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-08T22:47:25.459787
Fnatic,Fnatic,NEW_TEAM,2026-02-08T22:47:25.462296
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-08T22:47:25.463296
Fnatic,Fnatic,NEW_TEAM,2026-02-08T22:47:25.465301
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-08T22:47:25.466300
Fnatic,Fnatic,NEW_TEAM,2026-02-08T22:47:25.468300
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-08T22:47:25.469301
Fnatic,Fnatic,NEW_TEAM,2026-02-08T22:47:25.471804
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-08T22:47:25.472809
Fnatic,Fnatic,NEW_TEAM,2026-02-08T22:47:25.475814
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-08T22:47:25.476813
Fnatic,Fnatic,NEW_TEAM,2026-02-08T22:47:25.479813
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-08T22:47:25.479813
Fnatic,Fnatic,NEW_TEAM,2026-02-08T22:47:25.482326
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-08T22:47:25.483327
Fnatic,Fnatic,NEW_TEAM,2026-02-08T22:47:25.486334
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-08T22:47:25.487334
Fnatic,Fnatic,NEW_TEAM,2026-02-08T22:47:25.489332
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-08T22:47:25.490331
Fnatic,Fnatic,NEW_TEAM,2026-02-08T22:47:25.492843
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-08T22:47:25.493843
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-08T22:47:25.496847
Fnatic,Fnatic,NEW_TEAM,2026-02-08T22:47:25.496847
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-08T22:47:25.498847
