raw_name,canonical_name,normalization_type,timestamp
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.304339
9z,9z Globant,STATIC,2026-04-07T09:14:58.304339
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.306842
9z,9z Globant,STATIC,2026-04-07T09:14:58.306842
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.307847
9z,9z Globant,STATIC,2026-04-07T09:14:58.308850
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.309850
9z,9z Globant,STATIC,2026-04-07T09:14:58.309850
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.312355
9z,9z Globant,STATIC,2026-04-07T09:14:58.312355
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.313359
9z,9z Globant,STATIC,2026-04-07T09:14:58.314359
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.315359
9z,9z Globant,STATIC,2026-04-07T09:14:58.315359
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.316862
9z,9z Globant,STATIC,2026-04-07T09:14:58.317867
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.318871
9z,9z Globant,STATIC,2026-04-07T09:14:58.318871
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.320874
9z,9z Globant,STATIC,2026-04-07T09:14:58.320874
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.321871
9z,9z Globant,STATIC,2026-04-07T09:14:58.322871
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.323871
9z,9z Globant,STATIC,2026-04-07T09:14:58.323871
9z,9z Globant,STATIC,2026-04-07T09:14:58.324871
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.324871
9z,9z Globant,STATIC,2026-04-07T09:14:58.327379
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.327379
9z,9z Globant,STATIC,2026-04-07T09:14:58.329381
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.329381
9z,9z Globant,STATIC,2026-04-07T09:14:58.331382
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.331382
9z,9z Globant,STATIC,2026-04-07T09:14:58.332382
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.333381
9z,9z Globant,STATIC,2026-04-07T09:14:58.334382
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.334382
9z,9z Globant,STATIC,2026-04-07T09:14:58.336382
Spirit,Team Spirit,STATIC,2026-04-07T09:14:58.336382
9z,9z Globant,STATIC,2026-04-07T09:15:11.872466
Spirit,Team Spirit,STATIC,2026-04-07T09:15:11.872466
9z,9z Globant,STATIC,2026-04-07T09:15:11.874464
Spirit,Team Spirit,STATIC,2026-04-07T09:15:11.874464
9z,9z Globant,STATIC,2026-04-07T09:15:11.876966
Spirit,Team Spirit,STATIC,2026-04-07T09:15:11.876966
9z,9z Globant,STATIC,2026-04-07T09:15:11.878978
Spirit,Team Spirit,STATIC,2026-04-07T09:15:11.878978
9z,9z Globant,STATIC,2026-04-07T09:15:11.880975
Spirit,Team Spirit,STATIC,2026-04-07T09:15:11.881975
9z,9z Globant,STATIC,2026-04-07T09:15:11.882975
Spirit,Team Spirit,STATIC,2026-04-07T09:15:11.882975
9z,9z Globant,STATIC,2026-04-07T09:15:11.884975
Spirit,Team Spirit,STATIC,2026-04-07T09:15:11.884975
9z,9z Globant,STATIC,2026-04-07T09:15:11.886478
Spirit,Team Spirit,STATIC,2026-04-07T09:15:11.887483
9z,9z Globant,STATIC,2026-04-07T09:15:11.888483
Spirit,Team Spirit,STATIC,2026-04-07T09:15:11.888483
9z,9z Globant,STATIC,2026-04-07T09:15:11.890487
Spirit,Team Spirit,STATIC,2026-04-07T09:15:11.890487
9z,9z Globant,STATIC,2026-04-07T09:15:11.892487
Spirit,Team Spirit,STATIC,2026-04-07T09:15:11.892487
9z,9z Globant,STATIC,2026-04-07T09:15:11.894490
Spirit,Team Spirit,STATIC,2026-04-07T09:15:11.894490
Spirit,Team Spirit,STATIC,2026-04-07T09:15:11.896993
9z,9z Globant,STATIC,2026-04-07T09:15:11.896993
