raw_name,canonical_name,normalization_type,timestamp
Astralis,Astralis,NEW_TEAM,2026-05-22T18:18:34.804906
G2,G2 Esports,STATIC,2026-05-22T18:18:34.805911
Astralis,Astralis,NEW_TEAM,2026-05-22T18:18:34.807914
G2,G2 Esports,STATIC,2026-05-22T18:18:34.807914
Astralis,Astralis,NEW_TEAM,2026-05-22T18:18:34.810426
G2,G2 Esports,STATIC,2026-05-22T18:18:34.810426
Astralis,Astralis,NEW_TEAM,2026-05-22T18:18:34.813423
G2,G2 Esports,STATIC,2026-05-22T18:18:34.813423
Astralis,Astralis,NEW_TEAM,2026-05-22T18:18:34.815931
G2,G2 Esports,STATIC,2026-05-22T18:18:34.815931
Astralis,Astralis,NEW_TEAM,2026-05-22T18:18:34.817934
G2,G2 Esports,STATIC,2026-05-22T18:18:34.817934
Astralis,Astralis,NEW_TEAM,2026-05-22T18:18:34.819934
G2,G2 Esports,STATIC,2026-05-22T18:18:34.820935
Astralis,Astralis,NEW_TEAM,2026-05-22T18:18:34.822935
G2,G2 Esports,STATIC,2026-05-22T18:18:34.822935
Astralis,Astralis,NEW_TEAM,2026-05-22T18:18:34.825453
G2,G2 Esports,STATIC,2026-05-22T18:18:34.825453
Astralis,Astralis,NEW_TEAM,2026-05-22T18:18:34.828449
G2,G2 Esports,STATIC,2026-05-22T18:18:34.828449
Astralis,Astralis,NEW_TEAM,2026-05-22T18:18:34.830448
G2,G2 Esports,STATIC,2026-05-22T18:18:34.831448
Astralis,Astralis,NEW_TEAM,2026-05-22T18:18:34.833448
G2,G2 Esports,STATIC,2026-05-22T18:18:34.833448
G2,G2 Esports,STATIC,2026-05-22T18:18:34.834951
Astralis,Astralis,NEW_TEAM,2026-05-22T18:18:34.835958
G2,G2 Esports,STATIC,2026-05-22T18:18:34.836962
Astralis,Astralis,NEW_TEAM,2026-05-22T18:18:34.837962
G2,G2 Esports,STATIC,2026-05-22T18:18:34.839968
Astralis,Astralis,NEW_TEAM,2026-05-22T18:18:34.840962
G2,G2 Esports,STATIC,2026-05-22T18:18:34.842963
Astralis,Astralis,NEW_TEAM,2026-05-22T18:18:34.842963
G2,G2 Esports,STATIC,2026-05-22T18:18:34.845469
Astralis,Astralis,NEW_TEAM,2026-05-22T18:18:34.845469
G2,G2 Esports,STATIC,2026-05-22T18:18:34.847473
