raw_name,canonical_name,normalization_type,timestamp
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.505730
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.506730
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.508733
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.508733
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.510733
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.511733
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.513735
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.513735
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.515237
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.516242
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.518245
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.518245
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.520245
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.520245
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.523245
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.523245
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.524748
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.525752
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.527752
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.527752
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.529756
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.529756
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.531756
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.532756
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.534756
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.535259
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.537268
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.537268
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.539269
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.539269
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.541268
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.541268
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.543775
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.544775
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.546286
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.546286
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.548291
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.549291
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.551291
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.551291
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.553292
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.553292
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.556802
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.556802
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.558806
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.558806
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.560806
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.561806
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.563806
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.563806
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.566316
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.566316
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.568320
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.568320
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.570320
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.571320
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.573320
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.573320
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-06T13:37:38.575828
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:38.575828
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.772075
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.772075
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.774075
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.774075
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.776584
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.777584
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.779587
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.779587
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.781587
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.781587
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.783587
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.783587
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.785587
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.785587
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.787095
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.787095
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.789099
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.789099
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.791099
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.791099
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.793099
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.793099
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.794098
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.795603
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.796608
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.797611
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.798611
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.798611
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.800611
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.800611
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.802611
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.802611
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.804611
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.804611
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.807120
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.807120
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.809125
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.809125
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.811125
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.811125
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.813125
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.813125
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:37:55.814125
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:37:55.814125
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.762280
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.762280
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.764281
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.764281
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.767790
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.767790
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.769794
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.769794
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.772794
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.772794
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.774794
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.774794
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.777305
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.777305
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.780311
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.780311
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.782311
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.782311
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.784310
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.785816
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.787820
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.787820
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.789824
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.790825
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.792823
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.792823
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.795825
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.795825
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.797841
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.798845
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.800845
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.800845
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.802847
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.803846
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.805846
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.806350
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.808358
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.808358
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.810358
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-06T13:38:14.811358
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-02-06T13:38:14.813360
