raw_name,canonical_name,normalization_type,timestamp
500,500,NEW_TEAM,2026-02-12T11:31:24.943876
OG,OG Esports,STATIC,2026-02-12T11:31:24.943876
500,500,NEW_TEAM,2026-02-12T11:31:24.945874
OG,OG Esports,STATIC,2026-02-12T11:31:24.945874
500,500,NEW_TEAM,2026-02-12T11:31:24.948378
OG,OG Esports,STATIC,2026-02-12T11:31:24.948378
500,500,NEW_TEAM,2026-02-12T11:31:24.950383
OG,OG Esports,STATIC,2026-02-12T11:31:24.950383
500,500,NEW_TEAM,2026-02-12T11:31:24.952386
OG,OG Esports,STATIC,2026-02-12T11:31:24.952386
500,500,NEW_TEAM,2026-02-12T11:31:24.954386
OG,OG Esports,STATIC,2026-02-12T11:31:24.954386
500,500,NEW_TEAM,2026-02-12T11:31:24.956386
OG,OG Esports,STATIC,2026-02-12T11:31:24.956386
500,500,NEW_TEAM,2026-02-12T11:31:24.958889
OG,OG Esports,STATIC,2026-02-12T11:31:24.958889
500,500,NEW_TEAM,2026-02-12T11:31:24.960898
OG,OG Esports,STATIC,2026-02-12T11:31:24.960898
500,500,NEW_TEAM,2026-02-12T11:31:24.962897
OG,OG Esports,STATIC,2026-02-12T11:31:24.962897
500,500,NEW_TEAM,2026-02-12T11:31:24.965406
OG,OG Esports,STATIC,2026-02-12T11:31:24.965406
OG,OG Esports,STATIC,2026-02-12T11:31:24.967405
500,500,NEW_TEAM,2026-02-12T11:31:24.967405
OG,OG Esports,STATIC,2026-02-12T11:31:24.968908
500,500,NEW_TEAM,2026-02-12T11:31:24.969913
OG,OG Esports,STATIC,2026-02-12T11:31:24.971918
500,500,NEW_TEAM,2026-02-12T11:31:24.971918
OG,OG Esports,STATIC,2026-02-12T11:31:24.973916
500,500,NEW_TEAM,2026-02-12T11:31:24.973916
OG,OG Esports,STATIC,2026-02-12T11:31:24.975917
500,500,NEW_TEAM,2026-02-12T11:31:24.975917
OG,OG Esports,STATIC,2026-02-12T11:31:24.978423
500,500,NEW_TEAM,2026-02-12T11:31:24.978423
OG,OG Esports,STATIC,2026-02-12T11:31:24.980427
500,500,NEW_TEAM,2026-02-12T11:31:24.980427
OG,OG Esports,STATIC,2026-02-12T11:31:24.982430
500,500,NEW_TEAM,2026-02-12T11:31:24.982430
OG,OG Esports,STATIC,2026-02-12T11:31:24.984430
500,500,NEW_TEAM,2026-02-12T11:31:24.984430
OG,OG Esports,STATIC,2026-02-12T11:31:24.986430
500,500,NEW_TEAM,2026-02-12T11:31:24.986430
OG,OG Esports,STATIC,2026-02-12T11:31:24.988933
500,500,NEW_TEAM,2026-02-12T11:31:24.988933
OG,OG Esports,STATIC,2026-02-12T11:31:39.506153
500,500,NEW_TEAM,2026-02-12T11:31:39.506153
OG,OG Esports,STATIC,2026-02-12T11:31:39.508657
500,500,NEW_TEAM,2026-02-12T11:31:39.508657
OG,OG Esports,STATIC,2026-02-12T11:31:39.510661
500,500,NEW_TEAM,2026-02-12T11:31:39.510661
OG,OG Esports,STATIC,2026-02-12T11:31:39.512664
500,500,NEW_TEAM,2026-02-12T11:31:39.512664
OG,OG Esports,STATIC,2026-02-12T11:31:39.514664
500,500,NEW_TEAM,2026-02-12T11:31:39.515664
OG,OG Esports,STATIC,2026-02-12T11:31:39.516664
500,500,NEW_TEAM,2026-02-12T11:31:39.517664
OG,OG Esports,STATIC,2026-02-12T11:31:39.519168
500,500,NEW_TEAM,2026-02-12T11:31:39.519168
OG,OG Esports,STATIC,2026-02-12T11:31:39.521176
500,500,NEW_TEAM,2026-02-12T11:31:39.521176
OG,OG Esports,STATIC,2026-02-12T11:31:39.523177
500,500,NEW_TEAM,2026-02-12T11:31:39.523177
OG,OG Esports,STATIC,2026-02-12T11:31:39.525176
500,500,NEW_TEAM,2026-02-12T11:31:39.525176
OG,OG Esports,STATIC,2026-02-12T11:31:39.527178
500,500,NEW_TEAM,2026-02-12T11:31:39.528683
500,500,NEW_TEAM,2026-02-12T11:31:39.530688
OG,OG Esports,STATIC,2026-02-12T11:31:39.530688
500,500,NEW_TEAM,2026-02-12T11:31:39.532691
OG,OG Esports,STATIC,2026-02-12T11:31:39.532691
500,500,NEW_TEAM,2026-02-12T11:31:39.534691
OG,OG Esports,STATIC,2026-02-12T11:31:39.534691
500,500,NEW_TEAM,2026-02-12T11:31:39.536691
OG,OG Esports,STATIC,2026-02-12T11:31:39.537691
500,500,NEW_TEAM,2026-02-12T11:31:39.539194
OG,OG Esports,STATIC,2026-02-12T11:31:39.539194
500,500,NEW_TEAM,2026-02-12T11:31:39.541202
OG,OG Esports,STATIC,2026-02-12T11:31:39.541202
500,500,NEW_TEAM,2026-02-12T11:31:39.543203
OG,OG Esports,STATIC,2026-02-12T11:31:39.543203
500,500,NEW_TEAM,2026-02-12T11:31:39.545203
OG,OG Esports,STATIC,2026-02-12T11:31:39.545203
500,500,NEW_TEAM,2026-02-12T11:31:39.547202
OG,OG Esports,STATIC,2026-02-12T11:31:39.547202
500,500,NEW_TEAM,2026-02-12T11:31:39.549711
OG,OG Esports,STATIC,2026-02-12T11:31:39.549711
500,500,NEW_TEAM,2026-02-12T11:31:39.551714
OG,OG Esports,STATIC,2026-02-12T11:31:39.551714
500,500,NEW_TEAM,2026-02-12T11:31:39.553714
OG,OG Esports,STATIC,2026-02-12T11:31:39.553714
OG,OG Esports,STATIC,2026-02-12T11:31:48.564760
500,500,NEW_TEAM,2026-02-12T11:31:48.565760
OG,OG Esports,STATIC,2026-02-12T11:31:48.566760
500,500,NEW_TEAM,2026-02-12T11:31:48.567760
OG,OG Esports,STATIC,2026-02-12T11:31:48.569264
500,500,NEW_TEAM,2026-02-12T11:31:48.569264
OG,OG Esports,STATIC,2026-02-12T11:31:48.570269
500,500,NEW_TEAM,2026-02-12T11:31:48.571272
OG,OG Esports,STATIC,2026-02-12T11:31:48.572273
500,500,NEW_TEAM,2026-02-12T11:31:48.573273
OG,OG Esports,STATIC,2026-02-12T11:31:48.574272
500,500,NEW_TEAM,2026-02-12T11:31:48.574272
OG,OG Esports,STATIC,2026-02-12T11:31:48.576273
500,500,NEW_TEAM,2026-02-12T11:31:48.576273
OG,OG Esports,STATIC,2026-02-12T11:31:48.577273
500,500,NEW_TEAM,2026-02-12T11:31:48.577273
OG,OG Esports,STATIC,2026-02-12T11:31:48.579782
500,500,NEW_TEAM,2026-02-12T11:31:48.579782
OG,OG Esports,STATIC,2026-02-12T11:31:48.581785
500,500,NEW_TEAM,2026-02-12T11:31:48.581785
OG,OG Esports,STATIC,2026-02-12T11:31:48.582784
500,500,NEW_TEAM,2026-02-12T11:31:48.583784
500,500,NEW_TEAM,2026-02-12T11:31:48.584784
OG,OG Esports,STATIC,2026-02-12T11:31:48.585784
500,500,NEW_TEAM,2026-02-12T11:31:48.586784
OG,OG Esports,STATIC,2026-02-12T11:31:48.586784
