raw_name,canonical_name,normalization_type,timestamp
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.273804
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.273804
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.275808
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.275808
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.276812
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.277812
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.278811
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.279812
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.280813
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.280813
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.282812
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.282812
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.284315
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.284315
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.286323
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.286323
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.287323
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.288323
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.289323
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.289323
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.291323
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.291323
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.292323
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.292323
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.294831
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.294831
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.296836
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.296836
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.297835
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.298835
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.299835
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.300835
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.301835
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.302835
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.304338
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.304338
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:24.306343
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:24.306343
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:35.990692
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:35.990692
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:35.992693
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:35.992693
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:35.994197
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:35.994197
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:35.996206
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:35.996206
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:35.997206
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:35.998207
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:35.999207
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:36.000207
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:36.001209
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:36.001209
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:36.003206
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:36.003206
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:36.004709
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:36.004709
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:36.006719
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:36.006719
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:36.007719
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:36.007719
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:36.009718
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:36.009718
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:36.011718
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:36.011718
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:36.012718
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:36.012718
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:36.015230
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:36.015230
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:36.016234
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:36.016234
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:36.018234
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:36.018234
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:36.020234
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:36.020234
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:36.021234
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:36.021234
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:50.371835
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:50.371835
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:50.372835
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:50.374338
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:50.375343
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:50.376342
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:50.377342
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:50.377342
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:50.379845
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:50.379845
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:50.380849
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:50.381851
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:50.384354
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:50.384354
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:50.386359
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:50.386359
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:50.388362
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:50.388362
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:50.390362
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:50.390362
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:50.392362
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:50.392362
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-10T21:36:50.393362
LEGACY,LEGACY,STATIC_CANONICAL,2026-02-10T21:36:50.394363
