raw_name,canonical_name,normalization_type,timestamp
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.897836
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.898836
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.900836
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.901836
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.903836
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.904339
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.906348
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.907346
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.909347
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.910347
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.911348
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.912347
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.913850
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.914854
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.916857
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.917856
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.918857
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.919857
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.921857
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.922857
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.924360
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.925364
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.927367
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.927367
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.930368
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.930368
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.932367
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.932870
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.934877
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.934877
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.937881
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.937881
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.939881
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.940881
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.942881
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.942881
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.945388
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.945388
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.947392
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.947392
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.950392
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.950392
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.952391
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.952391
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.954899
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.955899
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:32.957902
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:32.957902
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:50.799919
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:50.799919
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:50.802919
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:50.802919
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:50.805425
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:50.805425
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:50.807429
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:50.807429
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:50.809429
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:50.810429
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:50.812429
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:50.812429
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:50.814436
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:50.814436
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:50.817444
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:50.817444
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:50.819443
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:50.819443
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:50.821444
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:50.822444
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:50.824444
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:50.824444
Monte Esports,Monte Esports,NEW_TEAM,2026-02-12T11:20:50.826954
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:20:50.826954
