raw_name,canonical_name,normalization_type,timestamp
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.192100
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.193098
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.198635
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.198635
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.203633
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.204633
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.208658
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.209658
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.214657
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.214657
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.219682
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.220682
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.224686
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.225682
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.230709
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.230709
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.235708
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.236213
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.240728
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.240728
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.245233
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.246241
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.249761
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.250757
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.253759
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.255263
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.259788
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.261788
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.263789
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.265294
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.269305
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.270308
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.274306
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.274306
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.280330
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.281328
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.284330
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.285833
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.289351
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.290855
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.293861
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.295369
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.299886
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.300892
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T19:02:05.305398
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-29T19:02:05.306405
