raw_name,canonical_name,normalization_type,timestamp
Astralis,Astralis,STATIC,2026-04-02T11:25:25.603009
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:25.603009
Astralis,Astralis,STATIC,2026-04-02T11:25:25.604513
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:25.605519
Astralis,Astralis,STATIC,2026-04-02T11:25:25.606517
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:25.606517
Astralis,Astralis,STATIC,2026-04-02T11:25:25.607520
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:25.607520
Astralis,Astralis,STATIC,2026-04-02T11:25:25.608520
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:25.609520
Astralis,Astralis,STATIC,2026-04-02T11:25:25.610520
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:25.610520
Astralis,Astralis,STATIC,2026-04-02T11:25:33.338437
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:33.338437
Astralis,Astralis,STATIC,2026-04-02T11:25:33.339437
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:33.339437
Astralis,Astralis,STATIC,2026-04-02T11:25:33.341437
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:33.341437
Astralis,Astralis,STATIC,2026-04-02T11:25:33.342437
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:33.342437
Astralis,Astralis,STATIC,2026-04-02T11:25:33.343437
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:33.344437
Astralis,Astralis,STATIC,2026-04-02T11:25:33.344940
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:33.345945
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:33.346949
Astralis,Astralis,STATIC,2026-04-02T11:25:33.346949
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:33.348949
Astralis,Astralis,STATIC,2026-04-02T11:25:33.348949
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:33.349949
Astralis,Astralis,STATIC,2026-04-02T11:25:33.349949
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:33.350949
Astralis,Astralis,STATIC,2026-04-02T11:25:33.351949
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:33.352949
Astralis,Astralis,STATIC,2026-04-02T11:25:33.352949
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:33.354452
Astralis,Astralis,STATIC,2026-04-02T11:25:33.354452
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:33.355456
Astralis,Astralis,STATIC,2026-04-02T11:25:33.355456
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.749631
Astralis,Astralis,STATIC,2026-04-02T11:25:42.749631
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.750630
Astralis,Astralis,STATIC,2026-04-02T11:25:42.751630
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.752631
Astralis,Astralis,STATIC,2026-04-02T11:25:42.752631
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.753630
Astralis,Astralis,STATIC,2026-04-02T11:25:42.755133
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.756138
Astralis,Astralis,STATIC,2026-04-02T11:25:42.756138
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.758142
Astralis,Astralis,STATIC,2026-04-02T11:25:42.758142
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.760141
Astralis,Astralis,STATIC,2026-04-02T11:25:42.760141
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.761142
Astralis,Astralis,STATIC,2026-04-02T11:25:42.761142
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.763142
Astralis,Astralis,STATIC,2026-04-02T11:25:42.763142
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.764645
Astralis,Astralis,STATIC,2026-04-02T11:25:42.764645
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.766650
Astralis,Astralis,STATIC,2026-04-02T11:25:42.766650
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.767653
Astralis,Astralis,STATIC,2026-04-02T11:25:42.768654
Astralis,Astralis,STATIC,2026-04-02T11:25:42.769654
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.769654
Astralis,Astralis,STATIC,2026-04-02T11:25:42.771654
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.771654
Astralis,Astralis,STATIC,2026-04-02T11:25:42.773654
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.773654
Astralis,Astralis,STATIC,2026-04-02T11:25:42.775156
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.775156
Astralis,Astralis,STATIC,2026-04-02T11:25:42.777162
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.777162
Astralis,Astralis,STATIC,2026-04-02T11:25:42.778167
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.778167
Astralis,Astralis,STATIC,2026-04-02T11:25:42.780166
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.780166
Astralis,Astralis,STATIC,2026-04-02T11:25:42.782166
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-04-02T11:25:42.782166
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-04-02T11:25:57.647468
Astralis,Astralis,STATIC,2026-04-02T11:25:57.647468
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-04-02T11:25:57.649468
Astralis,Astralis,STATIC,2026-04-02T11:25:57.649468
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-04-02T11:25:57.651469
Astralis,Astralis,STATIC,2026-04-02T11:25:57.651469
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-04-02T11:25:57.653469
Astralis,Astralis,STATIC,2026-04-02T11:25:57.654470
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-04-02T11:25:57.655975
Astralis,Astralis,STATIC,2026-04-02T11:25:57.656981
