raw_name,canonical_name,normalization_type,timestamp
Astralis,Astralis,STATIC,2026-03-30T14:53:24.757487
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.757487
Astralis,Astralis,STATIC,2026-03-30T14:53:24.759997
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.759997
Astralis,Astralis,STATIC,2026-03-30T14:53:24.760997
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.762501
Astralis,Astralis,STATIC,2026-03-30T14:53:24.763508
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.764507
Astralis,Astralis,STATIC,2026-03-30T14:53:24.765507
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.766510
Astralis,Astralis,STATIC,2026-03-30T14:53:24.769016
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.769016
Astralis,Astralis,STATIC,2026-03-30T14:53:24.771021
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.771021
Astralis,Astralis,STATIC,2026-03-30T14:53:24.773533
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.773533
Astralis,Astralis,STATIC,2026-03-30T14:53:24.775535
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.775535
Astralis,Astralis,STATIC,2026-03-30T14:53:24.777536
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.777536
Astralis,Astralis,STATIC,2026-03-30T14:53:24.779039
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.780045
Astralis,Astralis,STATIC,2026-03-30T14:53:24.781047
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.781047
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.783557
Astralis,Astralis,STATIC,2026-03-30T14:53:24.783557
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.786559
Astralis,Astralis,STATIC,2026-03-30T14:53:24.786559
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.789062
Astralis,Astralis,STATIC,2026-03-30T14:53:24.790067
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.792574
Astralis,Astralis,STATIC,2026-03-30T14:53:24.792574
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.794582
Astralis,Astralis,STATIC,2026-03-30T14:53:24.794582
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.796582
Astralis,Astralis,STATIC,2026-03-30T14:53:24.796582
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:24.799089
Astralis,Astralis,STATIC,2026-03-30T14:53:24.800096
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:39.373878
Astralis,Astralis,STATIC,2026-03-30T14:53:39.374878
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:39.376879
Astralis,Astralis,STATIC,2026-03-30T14:53:39.377878
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:39.379380
Astralis,Astralis,STATIC,2026-03-30T14:53:39.379380
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:39.381384
Astralis,Astralis,STATIC,2026-03-30T14:53:39.381384
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:39.383892
Astralis,Astralis,STATIC,2026-03-30T14:53:39.383892
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:39.386893
Astralis,Astralis,STATIC,2026-03-30T14:53:39.386893
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:39.389398
Astralis,Astralis,STATIC,2026-03-30T14:53:39.390401
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:39.391401
Astralis,Astralis,STATIC,2026-03-30T14:53:39.392905
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:39.394912
Astralis,Astralis,STATIC,2026-03-30T14:53:39.394912
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:39.396911
Astralis,Astralis,STATIC,2026-03-30T14:53:39.396911
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:39.398911
Astralis,Astralis,STATIC,2026-03-30T14:53:39.398911
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:39.401420
Astralis,Astralis,STATIC,2026-03-30T14:53:39.401420
Astralis,Astralis,STATIC,2026-03-30T14:53:39.403929
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:39.403929
Astralis,Astralis,STATIC,2026-03-30T14:53:39.406928
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:39.406928
Astralis,Astralis,STATIC,2026-03-30T14:53:39.408930
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:39.408930
Astralis,Astralis,STATIC,2026-03-30T14:53:39.410439
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:39.410439
Astralis,Astralis,STATIC,2026-03-30T14:53:39.412941
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:39.412941
Astralis,Astralis,STATIC,2026-03-30T14:53:39.414947
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:39.414947
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:52.648130
Gaimin Gladiators,Gaimin Gladiators,NEW_TEAM,2026-03-30T14:53:52.649635
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:52.651639
Gaimin Gladiators,Gaimin Gladiators,NEW_TEAM,2026-03-30T14:53:52.653144
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:52.655150
Gaimin Gladiators,Gaimin Gladiators,NEW_TEAM,2026-03-30T14:53:52.656149
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:52.658149
Gaimin Gladiators,Gaimin Gladiators,NEW_TEAM,2026-03-30T14:53:52.659653
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:52.660658
Gaimin Gladiators,Gaimin Gladiators,NEW_TEAM,2026-03-30T14:53:52.661658
3DMAX,3DMAX,STATIC_CANONICAL,2026-03-30T14:53:52.663161
Gaimin Gladiators,Gaimin Gladiators,NEW_TEAM,2026-03-30T14:53:52.665167
