raw_name,canonical_name,normalization_type,timestamp
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-08T18:19:46.403725
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-02-08T18:19:46.403725
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-08T18:19:46.406237
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-02-08T18:19:46.406237
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-08T18:19:46.408242
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-02-08T18:19:46.408242
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-08T18:19:46.411305
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-02-08T18:19:46.411305
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-08T18:19:46.413305
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-02-08T18:19:46.413305
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-08T18:19:46.414809
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-02-08T18:19:46.414809
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-08T18:19:46.416814
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-02-08T18:19:46.417819
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-08T18:19:46.419820
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-02-08T18:19:46.419820
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-08T18:19:46.421869
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-02-08T18:19:46.421869
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-08T18:19:46.423870
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-02-08T18:19:46.423870
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-08T18:19:46.425375
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-02-08T18:19:46.426380
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-08T18:19:46.428385
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-02-08T18:19:46.428385
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-02-08T18:19:46.430388
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-08T18:19:46.430388
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-02-08T18:19:46.432446
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-08T18:19:46.432446
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-02-08T18:19:46.434952
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-08T18:19:46.434952
Aurora Gaming,Aurora Gaming,STATIC_CANONICAL,2026-02-08T18:19:46.436957
