raw_name,canonical_name,normalization_type,timestamp
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.584187
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.584187
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.586189
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.586189
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.588188
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.588188
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.590187
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.590187
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.591188
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.592231
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.593230
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.593230
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.595233
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.595233
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.597233
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.597233
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.598740
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.598740
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.599740
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.599740
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.602333
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.602333
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.603331
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.603331
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.605334
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.605334
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.607334
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.607334
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.608334
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.609334
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.610334
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.610334
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.612372
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.612372
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.614373
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.614373
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.615373
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.615373
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.617374
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.617374
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.619373
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.619373
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:14.621374
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:14.621374
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:23.968449
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:23.968449
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:23.970449
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:23.970449
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:23.972490
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:23.972490
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:23.973488
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:23.973488
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:23.975492
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:23.975492
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:23.976492
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:23.977492
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:23.978492
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:23.978492
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:23.980493
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:23.980493
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:23.981491
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:23.982532
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:23.983530
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:23.983530
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:23.985533
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:23.985533
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:23.986533
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:23.986533
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:23.988533
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:23.988533
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:23.989533
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:23.989533
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:23.991533
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:23.991533
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:33.799989
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:33.799989
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:33.801492
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:33.801492
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:33.803499
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:33.803499
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:33.805503
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:33.805503
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:33.806502
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:33.806502
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:33.808502
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:33.808502
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:33.809502
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:33.810502
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:33.811502
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:33.812005
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:33.813011
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:33.813011
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:33.815015
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:33.815015
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:33.816014
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:33.817014
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:33.818014
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:33.818014
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:33.820014
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:33.820014
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:33.821572
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:33.821572
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:33.822576
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:33.823576
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:33.824580
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:33.824580
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:33.825580
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:33.826580
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:33.827580
FaZe,FaZe Clan,STATIC,2026-02-09T20:52:33.827580
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:53.398494
GamerLegion,GamerLegion,NEW_TEAM,2026-02-09T20:52:53.399493
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:53.400526
GamerLegion,GamerLegion,NEW_TEAM,2026-02-09T20:52:53.402029
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:53.404033
GamerLegion,GamerLegion,NEW_TEAM,2026-02-09T20:52:53.405036
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:53.407037
GamerLegion,GamerLegion,NEW_TEAM,2026-02-09T20:52:53.407037
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:53.409036
GamerLegion,GamerLegion,NEW_TEAM,2026-02-09T20:52:53.410037
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:53.412581
GamerLegion,GamerLegion,NEW_TEAM,2026-02-09T20:52:53.413586
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-09T20:52:53.415591
GamerLegion,GamerLegion,NEW_TEAM,2026-02-09T20:52:53.416590
