raw_name,canonical_name,normalization_type,timestamp
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T12:08:40.168047
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-12T12:08:40.169052
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T12:08:40.171055
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-12T12:08:40.171055
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T12:08:40.173055
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-12T12:08:40.174056
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T12:08:40.175057
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-12T12:08:40.176056
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T12:08:40.177559
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-12T12:08:40.178564
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T12:08:40.179563
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-12T12:08:40.180567
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T12:08:40.181567
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-12T12:08:40.182567
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T12:08:40.184567
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-12T12:08:40.184567
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T12:08:40.186566
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-12T12:08:40.186566
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T12:08:40.188070
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-12T12:08:40.189075
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T12:08:40.191078
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-12T12:08:40.191078
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T12:08:40.193078
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-12T12:08:40.193078
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-12T12:08:40.195078
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T12:08:40.196078
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-12T12:08:40.197581
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T12:08:40.197581
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-12T12:08:40.199585
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T12:08:40.199585
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-12T12:08:40.201589
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T12:08:40.202589
ECSTATIC,ECSTATIC,NEW_TEAM,2026-02-12T12:08:40.203589
