raw_name,canonical_name,normalization_type,timestamp
Astralis,Astralis,NEW_TEAM,2026-05-21T15:06:41.837795
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.837795
Astralis,Astralis,NEW_TEAM,2026-05-21T15:06:41.841306
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.841306
Astralis,Astralis,NEW_TEAM,2026-05-21T15:06:41.843309
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.843309
Astralis,Astralis,NEW_TEAM,2026-05-21T15:06:41.846309
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.846309
Astralis,Astralis,NEW_TEAM,2026-05-21T15:06:41.848309
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.848309
Astralis,Astralis,NEW_TEAM,2026-05-21T15:06:41.850816
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.850816
Astralis,Astralis,NEW_TEAM,2026-05-21T15:06:41.853320
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.853320
Astralis,Astralis,NEW_TEAM,2026-05-21T15:06:41.855325
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.856325
Astralis,Astralis,NEW_TEAM,2026-05-21T15:06:41.858325
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.858325
Astralis,Astralis,NEW_TEAM,2026-05-21T15:06:41.860833
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.860833
Astralis,Astralis,NEW_TEAM,2026-05-21T15:06:41.862836
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.863839
Astralis,Astralis,NEW_TEAM,2026-05-21T15:06:41.866836
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.866836
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.867836
Astralis,Astralis,NEW_TEAM,2026-05-21T15:06:41.869340
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.871345
Astralis,Astralis,NEW_TEAM,2026-05-21T15:06:41.872348
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.873349
Astralis,Astralis,NEW_TEAM,2026-05-21T15:06:41.874349
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.876349
Astralis,Astralis,NEW_TEAM,2026-05-21T15:06:41.877349
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.878349
Astralis,Astralis,NEW_TEAM,2026-05-21T15:06:41.879852
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.880857
Astralis,Astralis,NEW_TEAM,2026-05-21T15:06:41.881861
Legacy,LEGACY,STATIC,2026-05-21T15:06:41.883860
