raw_name,canonical_name,normalization_type,timestamp
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.541778
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.541778
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.544781
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.544781
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.547288
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.547288
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.549288
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.549288
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.551796
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.552794
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.554798
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.555798
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.557798
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.557798
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.559798
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.560798
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.563308
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.563308
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.565308
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.565308
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.568308
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.568308
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.570812
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.570812
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.572819
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.573820
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.575820
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.576820
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.578819
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.578819
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.581323
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.581323
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.583332
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.584332
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.586332
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.587334
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.589332
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.589332
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.591840
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.591840
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:45.594844
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:45.594844
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:59.979160
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:59.979160
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:59.981667
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:59.981667
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:59.983671
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:59.983671
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:59.985671
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:59.986672
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:59.988671
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:59.988671
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:59.991174
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:59.991174
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:59.993182
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:59.993182
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:59.995182
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:59.996182
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:59.997183
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:59.998182
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:47:59.999182
Alliance,Alliance,NEW_TEAM,2026-02-12T10:47:59.999182
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:48:00.001689
Alliance,Alliance,NEW_TEAM,2026-02-12T10:48:00.002692
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:48:00.005699
Alliance,Alliance,NEW_TEAM,2026-02-12T10:48:00.006697
Alliance,Alliance,NEW_TEAM,2026-02-12T10:48:00.008700
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:48:00.008700
Alliance,Alliance,NEW_TEAM,2026-02-12T10:48:00.012209
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:48:00.012209
Alliance,Alliance,NEW_TEAM,2026-02-12T10:48:00.014213
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:48:00.014213
Alliance,Alliance,NEW_TEAM,2026-02-12T10:48:00.016213
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T10:48:00.017213
