raw_name,canonical_name,normalization_type,timestamp
Metizport,Metizport,NEW_TEAM,2026-02-12T11:03:36.851297
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:36.851297
Metizport,Metizport,NEW_TEAM,2026-02-12T11:03:36.853302
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:36.854305
Metizport,Metizport,NEW_TEAM,2026-02-12T11:03:36.855306
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:36.856306
Metizport,Metizport,NEW_TEAM,2026-02-12T11:03:36.858306
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:36.858306
Metizport,Metizport,NEW_TEAM,2026-02-12T11:03:36.860307
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:36.860307
Metizport,Metizport,NEW_TEAM,2026-02-12T11:03:36.862814
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:36.862814
Metizport,Metizport,NEW_TEAM,2026-02-12T11:03:36.864817
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:36.864817
Metizport,Metizport,NEW_TEAM,2026-02-12T11:03:36.866820
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:36.866820
Metizport,Metizport,NEW_TEAM,2026-02-12T11:03:36.868817
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:36.868817
Metizport,Metizport,NEW_TEAM,2026-02-12T11:03:36.869817
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:36.871320
Metizport,Metizport,NEW_TEAM,2026-02-12T11:03:36.872324
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:36.873325
Metizport,Metizport,NEW_TEAM,2026-02-12T11:03:36.875330
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:36.875330
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:36.876329
Metizport,Metizport,NEW_TEAM,2026-02-12T11:03:36.877329
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.379352
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.380352
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.383860
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.384864
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.387865
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.388864
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.390864
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.391863
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.394376
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.395376
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.397376
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.398376
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.400376
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.400376
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.403887
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.404891
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.406891
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.407890
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.409892
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.410891
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.413399
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.413399
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.415403
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.416404
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.420404
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.420404
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.423912
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.423912
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.425916
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.426916
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.428916
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.429916
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.431916
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.432420
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.434430
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.435429
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.437932
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.437932
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.439936
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.440936
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.442439
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.443445
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.445450
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.445450
Phantom,Phantom,NEW_TEAM,2026-02-12T11:03:53.448449
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:03:53.448449
Phantom,Phantom,NEW_TEAM,2026-02-12T11:04:11.396825
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:04:11.396825
Phantom,Phantom,NEW_TEAM,2026-02-12T11:04:11.399825
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:04:11.399825
Phantom,Phantom,NEW_TEAM,2026-02-12T11:04:11.402329
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-12T11:04:11.403335
Phantom,Phantom,NEW_TEAM,2026-02-12T11:04:11.405336
