raw_name,canonical_name,normalization_type,timestamp
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:10.968528
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:10.970033
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:10.972049
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:10.972049
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:10.975049
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:10.976049
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:10.977050
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:10.978050
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:10.980550
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:10.980550
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:10.983563
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:10.984562
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:10.986561
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:10.987561
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:10.988562
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:10.990070
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:10.992078
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:10.993582
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:10.995587
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:10.995587
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:10.997588
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:10.998586
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:11.000088
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:11.001092
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:11.004098
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:11.004098
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:11.007100
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:11.007100
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:11.009101
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:11.009101
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:11.011616
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:11.011616
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:11.014624
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:11.014624
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:11.016624
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:11.016624
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:11.018623
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:11.018623
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.694404
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.695404
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.696911
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.696911
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.698911
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.699911
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.701911
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.701911
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.703911
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.703911
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.705911
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.705911
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.707911
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.707911
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.709911
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.710911
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.711911
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.712911
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.714911
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.714911
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.716911
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.716911
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.718911
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.718911
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.720911
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.720911
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.722911
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.723911
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.725912
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.725912
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.727911
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.728911
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.729911
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.730911
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.732911
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.732911
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.734911
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.735911
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-11T10:38:23.737911
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:23.737911
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:28.261520
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:28.261520
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:28.263520
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:28.263520
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:28.265520
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:28.265520
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:28.266520
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:28.267520
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:28.268520
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:28.269520
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:28.270522
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:28.271522
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:43.410411
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:43.411411
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:43.413411
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:43.413411
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:43.415411
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:43.416412
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:43.417411
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:43.418411
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:43.420413
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:43.421413
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:43.423414
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:43.423414
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:43.426412
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:43.426412
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:43.429411
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:43.429411
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:43.431411
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:43.432412
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:43.434411
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:43.434411
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:43.437413
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:43.437413
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:43.440413
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:43.440413
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:43.443413
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-11T10:38:43.443413
Astralis,Astralis,NEW_TEAM,2026-02-11T10:38:43.445413
