raw_name,canonical_name,normalization_type,timestamp
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.243340
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.243340
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.245848
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.245848
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.247851
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.248851
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.250851
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.250851
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.252851
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.252851
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.255360
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.256361
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.257364
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.258364
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.260365
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.260365
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.262364
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.263365
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.264867
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.265872
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.267875
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.267875
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.269875
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.270875
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.272875
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.272875
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.275383
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.275383
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.277386
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.277386
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.279386
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.280386
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.282386
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.282386
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.284890
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.284890
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.286898
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.286898
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.289899
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.289899
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.291899
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.291899
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.294402
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.294402
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.296407
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.296407
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:22.298910
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:22.298910
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:37.548050
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.550051
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:37.553052
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.554559
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:37.556566
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.557572
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:37.559571
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.560572
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:37.562571
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.563571
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:37.566083
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.567089
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:37.569088
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.570089
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:37.572089
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.573088
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:37.574593
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.575599
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:37.577608
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.578606
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:37.580605
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.581607
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:37.583606
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.583606
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.586118
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:37.587121
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.589121
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:37.589121
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.592121
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:37.592121
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.594629
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:37.594629
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.597636
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:37.597636
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.600637
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T13:04:37.600637
9z Globant,9z Globant,NEW_TEAM,2026-01-30T13:04:37.603641
