raw_name,canonical_name,normalization_type,timestamp
G2 Esports,G2 Esports,STATIC_CANONICAL,2026-01-31T08:19:53.245056
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-31T08:19:53.245056
G2 Esports,G2 Esports,STATIC_CANONICAL,2026-01-31T08:19:53.246057
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-31T08:19:53.247060
G2 Esports,G2 Esports,STATIC_CANONICAL,2026-01-31T08:19:53.248057
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-31T08:19:53.249057
G2 Esports,G2 Esports,STATIC_CANONICAL,2026-01-31T08:19:53.250056
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-31T08:19:53.250560
G2 Esports,G2 Esports,STATIC_CANONICAL,2026-01-31T08:19:53.251564
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-31T08:19:53.251564
G2 Esports,G2 Esports,STATIC_CANONICAL,2026-01-31T08:19:53.253568
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-31T08:19:53.253568
G2 Esports,G2 Esports,STATIC_CANONICAL,2026-01-31T08:19:53.254568
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-31T08:19:53.254568
G2 Esports,G2 Esports,STATIC_CANONICAL,2026-01-31T08:19:53.256570
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-31T08:19:53.256570
G2 Esports,G2 Esports,STATIC_CANONICAL,2026-01-31T08:19:53.257568
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-31T08:19:53.257568
G2 Esports,G2 Esports,STATIC_CANONICAL,2026-01-31T08:19:53.258568
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-31T08:19:53.259568
G2 Esports,G2 Esports,STATIC_CANONICAL,2026-01-31T08:19:53.260568
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-31T08:19:53.261071
G2 Esports,G2 Esports,STATIC_CANONICAL,2026-01-31T08:19:53.262077
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-31T08:19:53.262077
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-31T08:19:53.263076
G2 Esports,G2 Esports,STATIC_CANONICAL,2026-01-31T08:19:53.264080
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-31T08:19:53.265079
G2 Esports,G2 Esports,STATIC_CANONICAL,2026-01-31T08:19:53.265079
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-31T08:19:53.266079
G2 Esports,G2 Esports,STATIC_CANONICAL,2026-01-31T08:19:53.267079
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-31T08:19:53.268079
G2 Esports,G2 Esports,STATIC_CANONICAL,2026-01-31T08:19:53.268079
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-31T08:20:06.683054
G2 Esports,G2 Esports,STATIC_CANONICAL,2026-01-31T08:20:06.683054
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-31T08:20:06.685057
