raw_name,canonical_name,normalization_type,timestamp
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T10:38:46.548844
BIG,BIG,STATIC_CANONICAL,2026-01-29T10:38:46.548844
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T10:38:46.549844
BIG,BIG,STATIC_CANONICAL,2026-01-29T10:38:46.551347
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T10:38:46.552351
BIG,BIG,STATIC_CANONICAL,2026-01-29T10:38:46.553354
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T10:38:46.555355
BIG,BIG,STATIC_CANONICAL,2026-01-29T10:38:46.555355
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T10:38:46.556354
BIG,BIG,STATIC_CANONICAL,2026-01-29T10:38:46.557355
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T10:38:46.558356
BIG,BIG,STATIC_CANONICAL,2026-01-29T10:38:46.559356
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T10:38:46.561355
BIG,BIG,STATIC_CANONICAL,2026-01-29T10:38:46.561355
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T10:38:46.562862
BIG,BIG,STATIC_CANONICAL,2026-01-29T10:38:46.562862
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T10:38:46.564865
BIG,BIG,STATIC_CANONICAL,2026-01-29T10:38:46.564865
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T10:38:46.566867
BIG,BIG,STATIC_CANONICAL,2026-01-29T10:38:46.566867
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T10:38:46.567865
BIG,BIG,STATIC_CANONICAL,2026-01-29T10:38:46.568865
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T10:38:46.569870
BIG,BIG,STATIC_CANONICAL,2026-01-29T10:38:46.569870
BIG,BIG,STATIC_CANONICAL,2026-01-29T10:38:46.572381
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T10:38:46.572381
BIG,BIG,STATIC_CANONICAL,2026-01-29T10:38:46.574385
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T10:38:46.574385
BIG,BIG,STATIC_CANONICAL,2026-01-29T10:38:46.576385
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T10:38:46.576385
BIG,BIG,STATIC_CANONICAL,2026-01-29T10:38:46.578385
