raw_name,canonical_name,normalization_type,timestamp
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:07:47.362326
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:07:47.362326
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:07:47.364325
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:07:47.365325
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:07:47.367325
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:07:47.367325
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:07:47.369835
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:07:47.369835
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:07:47.371839
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:07:47.372839
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:07:47.374839
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:07:47.374839
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:07:47.376839
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:07:47.376839
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:07:47.378343
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:07:47.378343
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:07:47.380347
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:07:47.381351
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:07:47.382351
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:07:47.382351
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:07:47.384350
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:07:47.384350
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:07:47.386352
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:07:47.386352
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:07:47.387351
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:07:47.388351
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:07:47.389858
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:07:47.389858
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:07:47.390863
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:07:47.391862
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:07:47.392862
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:07:47.392862
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:07:47.394863
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:07:47.394863
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:07:47.396862
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:07:47.396862
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:08:02.950135
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:08:02.950135
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:08:02.952138
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:08:02.952138
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:08:02.954138
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:08:02.954138
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:08:02.956139
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:08:02.956139
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:08:02.957138
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:08:02.957138
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:08:02.959646
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:08:02.959646
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-23T16:08:02.961653
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-02-23T16:08:02.961653
