raw_name,canonical_name,normalization_type,timestamp
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:00.642718
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:00.642718
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:00.643718
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:00.643718
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:00.647229
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:00.647229
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:00.649235
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:00.649235
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:00.651234
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:00.651234
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:00.653234
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:00.653234
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:00.655235
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:00.655235
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:00.656747
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:00.657753
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:00.658753
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:00.659754
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:00.660757
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:00.661755
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:00.663754
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:00.663754
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:00.666268
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:00.666268
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:00.668271
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:00.668271
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:00.670271
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:00.670271
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:00.672273
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:00.672273
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:00.674271
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:00.674271
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:00.675776
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:00.675776
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:00.677782
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:00.677782
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:19.349227
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:19.350226
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:19.352226
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:19.352226
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:19.354226
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:19.354226
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:19.356735
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:19.356735
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:19.358738
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:19.358738
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:19.360738
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:19.360738
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:19.362739
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:19.363739
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:19.365745
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:19.365745
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:19.367750
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:19.367750
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:19.369753
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:19.370753
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:19.372755
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:19.372755
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:19.374753
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:19.374753
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:19.377261
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:19.377261
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:19.379265
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:19.379265
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:19.381266
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:19.382265
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:19.384265
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:19.384265
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:19.386773
BIG,BIG,STATIC_CANONICAL,2026-01-29T17:27:19.386773
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T17:27:19.388776
