raw_name,canonical_name,normalization_type,timestamp
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-04-21T18:08:55.364792
3DMAX,3DMAX,STATIC_CANONICAL,2026-04-21T18:08:55.364792
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-04-21T18:08:55.366792
3DMAX,3DMAX,STATIC_CANONICAL,2026-04-21T18:08:55.366792
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-04-21T18:08:55.368792
3DMAX,3DMAX,STATIC_CANONICAL,2026-04-21T18:08:55.368792
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-04-21T18:08:55.369792
3DMAX,3DMAX,STATIC_CANONICAL,2026-04-21T18:08:55.371295
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-04-21T18:08:55.372299
3DMAX,3DMAX,STATIC_CANONICAL,2026-04-21T18:08:55.373300
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-04-21T18:08:55.374304
3DMAX,3DMAX,STATIC_CANONICAL,2026-04-21T18:08:55.375304
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-04-21T18:08:55.376304
3DMAX,3DMAX,STATIC_CANONICAL,2026-04-21T18:08:55.377304
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-04-21T18:08:55.378304
3DMAX,3DMAX,STATIC_CANONICAL,2026-04-21T18:08:55.378304
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-04-21T18:08:55.380304
3DMAX,3DMAX,STATIC_CANONICAL,2026-04-21T18:08:55.380304
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-04-21T18:08:55.382811
3DMAX,3DMAX,STATIC_CANONICAL,2026-04-21T18:08:55.382811
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-04-21T18:08:55.384815
3DMAX,3DMAX,STATIC_CANONICAL,2026-04-21T18:08:55.384815
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-04-21T18:08:55.386815
3DMAX,3DMAX,STATIC_CANONICAL,2026-04-21T18:08:55.386815
3DMAX,3DMAX,STATIC_CANONICAL,2026-04-21T18:08:55.388815
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-04-21T18:08:55.388815
3DMAX,3DMAX,STATIC_CANONICAL,2026-04-21T18:08:55.389816
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-04-21T18:08:55.389816
3DMAX,3DMAX,STATIC_CANONICAL,2026-04-21T18:08:55.392323
Team Falcons,Team Falcons,STATIC_CANONICAL,2026-04-21T18:08:55.393324
