raw_name,canonical_name,normalization_type,timestamp
magic,magic,NEW_TEAM,2026-05-21T17:45:05.891693
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.891693
magic,magic,NEW_TEAM,2026-05-21T17:45:05.895698
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.895698
magic,magic,NEW_TEAM,2026-05-21T17:45:05.898697
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.898697
magic,magic,NEW_TEAM,2026-05-21T17:45:05.902204
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.902204
magic,magic,NEW_TEAM,2026-05-21T17:45:05.905207
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.906208
magic,magic,NEW_TEAM,2026-05-21T17:45:05.909207
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.909207
magic,magic,NEW_TEAM,2026-05-21T17:45:05.911714
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.913218
magic,magic,NEW_TEAM,2026-05-21T17:45:05.916222
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.917222
magic,magic,NEW_TEAM,2026-05-21T17:45:05.920222
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.920222
magic,magic,NEW_TEAM,2026-05-21T17:45:05.923733
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.923733
magic,magic,NEW_TEAM,2026-05-21T17:45:05.926734
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.927735
magic,magic,NEW_TEAM,2026-05-21T17:45:05.930735
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.930735
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.933243
magic,magic,NEW_TEAM,2026-05-21T17:45:05.934247
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.937245
magic,magic,NEW_TEAM,2026-05-21T17:45:05.937245
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.939247
magic,magic,NEW_TEAM,2026-05-21T17:45:05.940750
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.942754
magic,magic,NEW_TEAM,2026-05-21T17:45:05.942754
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.945758
magic,magic,NEW_TEAM,2026-05-21T17:45:05.945758
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.947758
magic,magic,NEW_TEAM,2026-05-21T17:45:05.948758
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.951261
magic,magic,NEW_TEAM,2026-05-21T17:45:05.951261
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.953268
magic,magic,NEW_TEAM,2026-05-21T17:45:05.954267
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.956268
magic,magic,NEW_TEAM,2026-05-21T17:45:05.956268
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:05.958267
magic,magic,NEW_TEAM,2026-05-21T17:45:05.959268
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:16.635732
magic,magic,NEW_TEAM,2026-05-21T17:45:16.635732
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:16.637735
magic,magic,NEW_TEAM,2026-05-21T17:45:16.638734
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:16.639735
magic,magic,NEW_TEAM,2026-05-21T17:45:16.641239
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:16.643248
magic,magic,NEW_TEAM,2026-05-21T17:45:16.643248
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:16.645252
magic,magic,NEW_TEAM,2026-05-21T17:45:16.646252
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:16.647253
magic,magic,NEW_TEAM,2026-05-21T17:45:16.648252
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:16.649251
magic,magic,NEW_TEAM,2026-05-21T17:45:16.650251
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:16.651759
magic,magic,NEW_TEAM,2026-05-21T17:45:16.652764
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:16.653768
magic,magic,NEW_TEAM,2026-05-21T17:45:16.654768
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:16.655767
magic,magic,NEW_TEAM,2026-05-21T17:45:16.656768
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:16.658770
magic,magic,NEW_TEAM,2026-05-21T17:45:16.659768
9z Globant,9z Globant,STATIC_CANONICAL,2026-05-21T17:45:16.661271
magic,magic,NEW_TEAM,2026-05-21T17:45:16.662276
magic,magic,NEW_TEAM,2026-05-21T17:45:16.664281
