raw_name,canonical_name,normalization_type,timestamp
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.903700
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.904705
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.906709
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.906709
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.908708
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.909708
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.910708
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.911709
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.913711
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.914214
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.916221
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.916221
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.918221
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.919221
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.920221
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.921221
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.923221
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.923724
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.925734
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.925734
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.927734
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.927734
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.929736
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.930733
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.931734
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.933237
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.935242
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.935242
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.937245
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.937245
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.939246
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.940245
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.942245
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.942245
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.943748
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.944752
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.946756
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.946756
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:33.948756
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:33.948756
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-29T11:39:44.131348
Astralis,Astralis,NEW_TEAM,2026-01-29T11:39:44.132348
