raw_name,canonical_name,normalization_type,timestamp
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T08:36:22.464958
Astralis,Astralis,NEW_TEAM,2026-02-11T08:36:22.465959
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T08:36:22.468467
Astralis,Astralis,NEW_TEAM,2026-02-11T08:36:22.468467
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T08:36:22.470978
Astralis,Astralis,NEW_TEAM,2026-02-11T08:36:22.470978
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T08:36:22.472978
Astralis,Astralis,NEW_TEAM,2026-02-11T08:36:22.473979
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T08:36:22.475980
Astralis,Astralis,NEW_TEAM,2026-02-11T08:36:22.476487
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T08:36:22.478497
Astralis,Astralis,NEW_TEAM,2026-02-11T08:36:22.479497
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T08:36:22.481499
Astralis,Astralis,NEW_TEAM,2026-02-11T08:36:22.482500
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T08:36:22.484497
Astralis,Astralis,NEW_TEAM,2026-02-11T08:36:22.484497
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T08:36:22.487007
Astralis,Astralis,NEW_TEAM,2026-02-11T08:36:22.488007
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T08:36:22.490011
Astralis,Astralis,NEW_TEAM,2026-02-11T08:36:22.490011
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T08:36:22.492012
Astralis,Astralis,NEW_TEAM,2026-02-11T08:36:22.493011
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T08:36:22.495011
Astralis,Astralis,NEW_TEAM,2026-02-11T08:36:22.496011
Astralis,Astralis,NEW_TEAM,2026-02-11T08:36:22.499530
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T08:36:22.499530
Astralis,Astralis,NEW_TEAM,2026-02-11T08:36:22.502525
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T08:36:22.503528
Astralis,Astralis,NEW_TEAM,2026-02-11T08:36:22.507034
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T08:36:22.507034
Astralis,Astralis,NEW_TEAM,2026-02-11T08:36:22.510039
