raw_name,canonical_name,normalization_type,timestamp
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.138083
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.138083
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.140586
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.140586
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.142594
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.142594
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.143596
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.144594
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.145594
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.146594
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.147598
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.148599
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.149596
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.150595
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.152103
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.152103
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.154108
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.154108
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.156106
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.156106
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.158106
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.158106
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.159106
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.159106
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.161616
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.161616
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.163616
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.163616
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.165617
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.165617
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.167616
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.167616
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.169617
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.169617
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.171120
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.171120
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.173128
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.173128
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.175128
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.175128
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.177128
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.177128
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.178128
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.179128
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.180632
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.180632
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:22:45.182639
MIBR,MIBR,STATIC_CANONICAL,2026-01-30T07:22:45.182639
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T07:23:00.265516
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:23:00.265516
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T07:23:00.268515
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:23:00.268515
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T07:23:00.269516
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:23:00.269516
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T07:23:00.272026
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:23:00.272026
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T07:23:00.274031
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:23:00.274031
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T07:23:00.276032
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:23:00.276032
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T07:23:00.278037
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:23:00.279030
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T07:23:00.280030
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:23:00.280030
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T07:23:00.283548
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:23:00.283548
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T07:23:00.285547
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:23:00.285547
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T07:23:00.287549
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:23:00.288547
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T07:23:00.289549
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:23:00.289549
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:23:00.292058
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T07:23:00.292058
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:23:00.294062
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T07:23:00.294062
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:23:00.296061
paiN Gaming,paiN Gaming,STATIC_CANONICAL,2026-01-30T07:23:00.296061
3DMAX,3DMAX,STATIC_CANONICAL,2026-01-30T07:23:00.298061
