raw_name,canonical_name,normalization_type,timestamp
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T14:23:53.028683
FaZe Clan,FaZe Clan,STATIC_CANONICAL,2026-02-11T14:23:53.028683
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T14:23:53.030690
FaZe Clan,FaZe Clan,STATIC_CANONICAL,2026-02-11T14:23:53.030690
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T14:23:53.032696
FaZe Clan,FaZe Clan,STATIC_CANONICAL,2026-02-11T14:23:53.033695
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T14:23:53.034694
FaZe Clan,FaZe Clan,STATIC_CANONICAL,2026-02-11T14:23:53.035694
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T14:23:53.036695
FaZe Clan,FaZe Clan,STATIC_CANONICAL,2026-02-11T14:23:53.036695
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T14:23:53.039205
FaZe Clan,FaZe Clan,STATIC_CANONICAL,2026-02-11T14:23:53.039205
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T14:23:53.041211
FaZe Clan,FaZe Clan,STATIC_CANONICAL,2026-02-11T14:23:53.041211
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T14:23:53.042211
FaZe Clan,FaZe Clan,STATIC_CANONICAL,2026-02-11T14:23:53.043211
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T14:23:53.044211
FaZe Clan,FaZe Clan,STATIC_CANONICAL,2026-02-11T14:23:53.044211
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T14:23:53.046210
FaZe Clan,FaZe Clan,STATIC_CANONICAL,2026-02-11T14:23:53.046210
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T14:23:53.048720
FaZe Clan,FaZe Clan,STATIC_CANONICAL,2026-02-11T14:23:53.048720
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T14:23:53.050731
FaZe Clan,FaZe Clan,STATIC_CANONICAL,2026-02-11T14:23:53.050731
FaZe Clan,FaZe Clan,STATIC_CANONICAL,2026-02-11T14:23:53.052729
3DMAX,3DMAX,STATIC_CANONICAL,2026-02-11T14:23:53.052729
