raw_name,canonical_name,normalization_type,timestamp
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:22:46.233764
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:22:46.233764
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:22:46.236762
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:22:46.237763
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:22:46.239764
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:22:46.239764
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:22:46.241271
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:22:46.241271
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:22:46.243284
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:22:46.243284
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:22:46.245280
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:22:46.245280
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:22:46.246280
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:22:46.246280
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:22:46.247280
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:22:46.248280
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:22:46.249280
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:22:46.249280
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:22:46.250784
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:22:46.251789
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:22:46.252789
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:22:46.252789
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:22:46.253793
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:22:46.253793
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:22:46.255792
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:22:46.255792
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.768644
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.768644
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.771149
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.771149
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.773155
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.773155
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.775197
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.775197
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.777197
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.777197
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.779198
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.780197
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.781703
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.781703
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.783713
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.783713
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.785834
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.785834
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.787834
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.787834
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.789832
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.789832
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.791335
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.792341
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.794344
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.794344
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.796383
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.796383
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.798383
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.798383
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.800383
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.800383
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.801886
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.801886
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.803893
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.803893
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.805937
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.805937
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.807937
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.807937
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.809937
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.809937
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.811440
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.811440
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.813448
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.813448
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.815448
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.815448
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.817490
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.817490
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.818489
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.819489
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:04.820992
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:04.820992
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.824447
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.824447
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.825447
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.826491
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.827491
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.828491
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.830493
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.830493
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.831994
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.832998
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.834001
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.835001
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.837001
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.837001
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.838001
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.839001
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.840001
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.840001
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.842510
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.842510
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.843509
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.844512
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.846514
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.846514
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.848512
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.849512
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.850512
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.850512
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.853024
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.853024
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.855027
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.855027
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.857027
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.857027
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.859027
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.859027
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.860027
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.860027
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.862535
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.863535
OG Esports,OG Esports,STATIC_CANONICAL,2026-02-10T02:23:23.864538
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:23.865538
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.825603
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.825603
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.828604
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.828604
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.830604
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.830604
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.833160
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.834159
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.836162
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.836162
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.839163
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.839163
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.841162
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.842163
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.843671
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.844674
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.846674
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.847674
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.849676
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.849676
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.852178
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.852178
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.855187
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.855187
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.858187
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.858187
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.860187
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.861187
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.863197
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.863197
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.865199
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.866199
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.868199
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.868199
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.871200
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.871200
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.873707
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.873707
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.876750
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.876750
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.878749
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.878749
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.880749
B8 Esports,B8 Esports,STATIC_CANONICAL,2026-02-10T02:23:47.882252
PARIVISION,PARIVISION,NEW_TEAM,2026-02-10T02:23:47.884257
