raw_name,canonical_name,normalization_type,timestamp
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.880947
OG,OG Esports,STATIC,2026-02-12T11:40:46.880947
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.883955
OG,OG Esports,STATIC,2026-02-12T11:40:46.883955
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.885955
OG,OG Esports,STATIC,2026-02-12T11:40:46.885955
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.887955
OG,OG Esports,STATIC,2026-02-12T11:40:46.887955
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.890458
OG,OG Esports,STATIC,2026-02-12T11:40:46.890458
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.892463
OG,OG Esports,STATIC,2026-02-12T11:40:46.892463
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.894467
OG,OG Esports,STATIC,2026-02-12T11:40:46.895467
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.896467
OG,OG Esports,STATIC,2026-02-12T11:40:46.897469
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.899467
OG,OG Esports,STATIC,2026-02-12T11:40:46.899467
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.900969
OG,OG Esports,STATIC,2026-02-12T11:40:46.901974
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.902978
OG,OG Esports,STATIC,2026-02-12T11:40:46.903978
OG,OG Esports,STATIC,2026-02-12T11:40:46.904978
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.905978
OG,OG Esports,STATIC,2026-02-12T11:40:46.907978
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.907978
OG,OG Esports,STATIC,2026-02-12T11:40:46.908978
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.910481
OG,OG Esports,STATIC,2026-02-12T11:40:46.911485
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.912486
OG,OG Esports,STATIC,2026-02-12T11:40:46.914494
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.914494
OG,OG Esports,STATIC,2026-02-12T11:40:46.916489
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.916489
OG,OG Esports,STATIC,2026-02-12T11:40:46.918489
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.918489
OG,OG Esports,STATIC,2026-02-12T11:40:46.920992
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.920992
OG,OG Esports,STATIC,2026-02-12T11:40:46.923000
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.923000
OG,OG Esports,STATIC,2026-02-12T11:40:46.925000
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.925000
OG,OG Esports,STATIC,2026-02-12T11:40:46.927000
Furia,Furia,NEW_TEAM,2026-02-12T11:40:46.927000
OG,OG Esports,STATIC,2026-02-12T11:41:03.393826
Furia,Furia,NEW_TEAM,2026-02-12T11:41:03.394826
OG,OG Esports,STATIC,2026-02-12T11:41:03.395826
