raw_name,canonical_name,normalization_type,timestamp
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-23T14:50:48.318833
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-02-23T14:50:48.319834
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-23T14:50:48.321337
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-02-23T14:50:48.321337
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-23T14:50:48.322342
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-02-23T14:50:48.322342
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-02-23T14:50:51.637006
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-02-23T14:50:51.637006
Eternal Fire,Eternal Fire,NEW_TEAM,2026-02-23T14:50:53.049026
The MongolZ,The MongolZ,STATIC_CANONICAL,2026-02-23T14:50:53.049026
