id,name,team,steam_id,t_role,ct_role,igl,is_active,created_at,updated_at,player_image_url,country_code,age,price,contract_end,specialist_maps
,volt,500,76561198155754447,Spacetaker,Rotator,FALSE,TRUE,,,,Romania,24,160000,2026,
,CYPHER,500,76561198251984554,Spacetaker,Rotator,FALSE,TRUE,,,,United Kingdom,22,300000,2025,
,kRaSnaL,500,76561198296417934,Spacetaker,Rotator,FALSE,TRUE,,,,Poland,22,150000,2025,
63,rain,100Thieves,76561197997351207,Spacetaker,Anchor,FALSE,TRUE,"""2025-08-05T15:46:38.879Z""","""2025-11-07T08:59:14.852Z""",,Norway,30,700000,2027,
84,bodyy,3DMAX,76561198013295375,Lurker,Rotator,FALSE,TRUE,"""2025-08-05T15:46:39.865Z""","""2025-10-29T12:38:59.226Z""",,France,28,195000,2027,
83,Lucky,3DMAX,76561198031890115,Spacetaker,Anchor,FALSE,TRUE,"""2025-08-05T15:46:39.818Z""","""2025-10-29T12:38:59.114Z""",,France,27,230000,2027,
88,Maka,3DMAX,76561198045739761,AWP,AWP,FALSE,TRUE,"""2025-08-05T15:46:40.051Z""","""2025-10-29T12:38:59.163Z""",,France,28,280000,2027,
86,Ex3rcice,3DMAX,76561198168198200,Spacetaker,Anchor,FALSE,TRUE,"""2025-08-05T15:46:39.958Z""","""2025-10-29T12:38:59.068Z""",,France,25,260000,2027,
87,Graviti,3DMAX,76561198179538505,Lurker,Rotator,TRUE,TRUE,"""2025-08-05T15:46:40.005Z""","""2025-10-29T12:38:58.839Z""",,France,22,350000,2027,
,cej0t,9INE,76561198080449500,Spacetaker,Anchor,FALSE,TRUE,,,,,,,,
,raalz,9INE,76561197996060155,Support,Anchor,TRUE,TRUE,,,,Denmark,30,140000,2026,
,kraghen,9INE,76561198047198945,Support,Rotator,FALSE,TRUE,,,,Denmark,23,230000,2025,
,phzy,9INE,76561198408199043,AWP,AWP,FALSE,TRUE,,,,Sweden,23,220000,2027,
,bnox,9INE,76561198360682773,Lurker,Rotator,FALSE,TRUE,,,,Poland,25,140000,2026,
,max,9z,76561198242950384,Spacetaker,Anchor,FALSE,TRUE,,,,Uruguay,26,248000,2026,
,HUASOPEEK,9z,76561198319723208,Spacetaker,Rotator,FALSE,TRUE,,,,Chile,22,348000,2026,
,meyern,9z,,,,,,,,,Argentina,,,,
,Luken,9z,,,,,,,,,Argentina,,,,
,Luchov,9z,,,,,,,,,Argentina,,,,
28,Magisk,Astralis,76561197983956651,Support,Anchor,FALSE,TRUE,"""2025-08-05T15:46:37.235Z""","""2025-10-29T12:38:59.559Z""",,Denmark,27,232000,2027,
77,dev1ce,Astralis,76561197987713664,AWP,AWP,FALSE,TRUE,"""2025-08-05T15:46:39.533Z""","""2025-10-29T12:38:59.278Z""",,Denmark,30,465000,2027,
80,Staehr,Astralis,76561198005107817,Lurker,Anchor,FALSE,TRUE,"""2025-08-05T15:46:39.676Z""","""2025-10-29T12:38:59.514Z""",,Denmark,21,400000,2027,
79,Hooxi,Astralis,76561198014409896,Support,Anchor,TRUE,TRUE,"""2025-08-05T15:46:39.630Z""","""2025-09-22T05:21:55.749Z""",,Denmark,30,150000,2027,
82,jabbi,Astralis,76561198120557348,Spacetaker,Rotator,FALSE,TRUE,"""2025-08-05T15:46:39.772Z""","""2025-10-29T12:38:59.468Z""",,Denmark,22,290000,2027,
67,MAJ3R,Aurora,76561197967432889,Support,Anchor,TRUE,TRUE,"""2025-08-05T15:46:39.065Z""","""2025-10-29T12:38:59.696Z""",,Turkey,34,116000,2027,
68,XANTARES,Aurora,76561198044118796,Spacetaker,Rotator,FALSE,TRUE,"""2025-08-05T15:46:39.112Z""","""2025-10-29T12:38:59.607Z""",,Turkey,30,620000,2027,
69,woxic,Aurora,76561198083485506,AWP,AWP,FALSE,TRUE,"""2025-08-05T15:46:39.159Z""","""2025-10-29T12:38:59.652Z""",,Turkey,27,581000,2027,
70,jottAAA,Aurora,76561198410750263,Spacetaker,Anchor,FALSE,TRUE,"""2025-08-05T15:46:39.204Z""","""2025-10-29T12:38:59.742Z""",,Turkey,23,465000,2027,
71,Wicadia,Aurora,76561198812513923,Lurker,Rotator,FALSE,TRUE,"""2025-08-05T15:46:39.251Z""","""2025-10-29T12:38:59.788Z""",,Turkey,20,581000,2027,
,alex666,B8,76561198304115519,Support,Anchor,FALSE,TRUE,,,,Ukraine,24,190000,2026,
,npl,B8,76561198305036904,Support,Anchor,TRUE,TRUE,,,,Ukraine,20,500000,2027,
,headtr1ck,B8,76561198359519930,AWP,AWP,FALSE,TRUE,,,,Ukraine,21,465000,2027,
,kensizor,B8,76561198382173659,Spacetaker,Rotator,FALSE,TRUE,,,,Ukraine,19,581000,2026,
,esenthial,B8,76561199149812353,Lurker,Rotator,FALSE,TRUE,,,,Ukraine,19,465000,2027,
,s1mple,BC.Game,76561198034202275,AWP,AWP,FALSE,TRUE,,,,Ukraine,28,800000,2026,
4,electronic,BC.Game,76561198044045107,Spacetaker,Rotator,TRUE,TRUE,"""2025-08-05T15:46:36.099Z""","""2025-10-29T11:08:31.239Z""",,Russia,24,400000,2027,
,aNdu,BC.Game,,Spacetaker,Rotator,FALSE,TRUE,,,,Estonia,20,160000,2027,
,buda,BESTIA,76561198199343350,Spacetaker,Rotator,FALSE,TRUE,,,,Argentina,22,232000,2027,
,boombl4,BetBoom,76561198146207066,Spacetaker,Anchor,TRUE,TRUE,,,,Russia,26,200000,2026,
,ArtFr0st,BetBoom,76561198156778414,AWP,AWP,FALSE,TRUE,,,,Russia,24,200000,2026,
,s1ren,BetBoom,76561198167785069,Lurker,Rotator,FALSE,TRUE,,,,Russia,23,400000,2027,
,magnojez,BetBoom,76561198372023214,Spacetaker,Rotator,FALSE,TRUE,,,,Russia,21,480000,2026,
