"id","name","team","steam_id","t_role","ct_role","igl","is_active","created_at","updated_at","player_image_url","country_code","age","price","contract_end","specialist_maps"
1,FL1T,Virtus.pro,76561197995817501,Spacetaker,Rotator,false,true,2025-08-05 15:46:35.942,2025-10-29 12:39:02.720,,RU,27,581000,2027,
2,mir,No Team,76561198000827804,Spacetaker,Anchor,false,false,2025-08-05 15:46:36.005,2025-10-29 12:39:03.348,,US,24,232000,2026,
3,FL4MUS,No Team,76561198014259134,Spacetaker,Anchor,false,true,2025-08-05 15:46:36.052,2025-10-29 11:09:33.747,,RU,24,400000,2027,
4,electronic,BC.Game,76561198044045107,Spacetaker,Rotator,true,true,2025-08-05 15:46:36.099,2025-10-29 11:08:31.239,,RU,24,400000,2027,
5,fame,Virtus.pro,76561198080114546,Lurker,Anchor,false,true,2025-08-05 15:46:36.145,2025-10-29 12:39:02.764,,RU,22,465000,2027,
6,ICY,No Team,76561198055109028,AWP,AWP,false,true,2025-08-05 15:46:36.192,2025-10-29 11:07:37.499,,RU,24,400000,2027,
7,Mzinho,The MongolZ,76561198838822582,Support,Anchor,false,true,2025-08-05 15:46:36.239,2025-08-05 15:46:36.239,,MN,23,350000,2027,
8,Senzu,The MongolZ,76561198920720017,Lurker,Rotator,false,true,2025-08-05 15:46:36.286,2025-10-29 12:39:02.675,,MN,25,465000,2027,
9,bLitz,The MongolZ,76561198959824088,Spacetaker,Rotator,true,true,2025-08-05 15:46:36.331,2025-10-29 12:39:02.539,,MN,22,465000,2027,
10,Techno4K,The MongolZ,76561198966340160,Spacetaker,Anchor,false,true,2025-08-05 15:46:36.378,2025-10-29 12:39:02.585,,MN,23,349000,2027,
11,"910-",The MongolZ,76561199203563345,AWP,AWP,false,true,2025-08-05 15:46:36.425,2025-10-29 12:39:02.494,,MN,23,581000,2027,
12,mezii,Team Vitality,76561197973140692,Spacetaker,Anchor,false,true,2025-08-05 15:46:36.472,2025-10-29 12:39:02.396,,UK,24,930000,2026,
13,flameZ,Team Vitality,76561197978835160,Spacetaker,Rotator,false,true,2025-08-05 15:46:36.519,2025-10-29 12:39:02.350,,DK,25,1046000,2026,
14,apEX,Team Vitality,76561197989744167,Support,Rotator,true,true,2025-08-05 15:46:36.567,2025-10-29 12:39:02.445,,FR,31,232000,2025,
15,ropz,Team Vitality,76561197991272318,Lurker,Anchor,false,true,2025-08-05 15:46:36.613,2025-10-29 12:39:02.304,,FR,25,1744000,2026,
