,steam_id,name,team_name,kill_count,assist_count,kd,mvp,HLTV,HLTV 2.0,kast,death_count,headshot_count,first_kill_count,first_death_count,bomb_defused_count,bomb_planted_count,1v1,1v2,1v3,1v4,1v5,1v1_won,1v2_won,1v3_won,1v4_won,1v5_won,1v2_lost,1v3_lost,1v4_lost,1v5_lost,total_rounds_won,t_rounds_won,ct_rounds_won,kills_x,headshots,wallbang_kills,assisted_flashes,trade_kills,trade_deaths,no_scope,through_smoke,airbone_kills,airbone_victim_kills,blind_kills,victim_blind_kills,kills_y,first_deaths,CT_first_kills,T_first_kills,CT_first_deaths,T_first_deaths,flahes_thrown,CT_flahes_thrown,T_flahes_thrown,flahes_thrown_in_pistol_round,he_thrown,CT_he_thrown,T_he_thrown,he_thrown_in_pistol_round,infernos_thrown,CT_infernos_thrown,T_infernos_thrown,infernos_thrown_in_pistol_round,smokes_thrown,CT_smokes_thrown,T_smokes_thrown,smokes_thrown_in_pistol_round,util_in_pistol_round,total_util_thrown
0,76561197989430253,karrigan,FaZe Clan,30,19,0.7999999999999999,4,0.8681576666666667,0.875193,71.01086066666666,40,14,4,7,1,0,1,1,1,0,2,1,1,0,0,0,0,1,0,2,32,16,16,30,14,4,1,7,9,0,4,1,2,1,1,4,4,0,4,4,0,43,16,27,4,25,20,5,0,43,22,21,0,36,20,16,2,6,147
1,76561197991272318,ropz,FaZe Clan,47,10,1.3233333333333333,6,1.1591996666666666,1.212127,70.67669533333334,37,26,8,8,2,2,1,1,1,1,1,1,0,0,0,0,1,1,1,1,32,16,16,47,26,0,2,11,9,0,3,0,1,3,2,8,8,6,2,2,6,20,8,12,0,22,17,5,0,23,11,12,1,33,10,23,1,2,98
2,76561197997351207,rain,FaZe Clan,45,16,1.0166666666666666,7,1.015147,1.127314,70.84377733333334,45,24,10,4,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,32,16,16,45,24,1,2,7,21,0,6,0,1,4,5,10,10,5,5,5,5,32,18,14,0,18,14,4,0,32,19,13,1,41,24,17,1,2,123
3,76561198013243326,Aleksib,Natus Vincere,42,16,1.32,5,1.0551383333333333,1.202296,83.12448166666667,35,13,5,6,0,3,0,2,1,1,2,0,0,0,0,0,2,1,1,2,27,15,12,42,13,0,0,9,6,0,2,0,0,2,3,5,5,2,3,3,2,46,23,23,4,20,10,10,0,36,19,17,1,45,19,26,3,8,147
4,76561198050250233,iM,Natus Vincere,29,13,0.71,5,0.7494580000000001,0.8536100000000001,73.09941666666667,42,10,6,8,0,5,0,2,1,1,0,0,1,0,0,0,1,1,1,0,27,15,12,29,10,0,4,4,7,0,3,0,0,1,6,6,6,2,4,4,2,34,15,19,2,18,12,6,0,27,13,14,0,32,11,21,1,3,111
5,76561198068422762,frozen,FaZe Clan,40,17,1.2866666666666666,8,1.1131339999999998,1.1468286666666667,74.01837966666666,36,20,6,6,2,2,2,0,1,1,2,1,0,0,0,0,0,1,1,2,32,16,16,40,20,1,0,7,8,0,3,0,0,5,2,6,6,3,3,3,3,33,20,13,0,21,12,9,0,31,14,17,0,29,13,16,1,1,114
6,76561198176878303,jL,Natus Vincere,34,16,0.96,2,0.8499126666666666,1.0121043333333335,76.60819,42,26,7,3,0,1,0,2,0,4,0,0,0,0,1,0,2,0,3,0,27,15,12,34,26,1,4,10,10,0,7,0,0,3,6,7,7,5,2,2,5,23,13,10,1,23,15,8,0,32,16,16,0,27,16,11,0,1,105
7,76561198201620490,broky,FaZe Clan,36,11,1.4000000000000001,7,0.991834,1.100846,80.70175666666667,29,11,3,3,2,12,2,2,2,0,2,1,1,0,0,0,1,2,0,2,32,16,16,36,11,0,1,7,8,0,1,0,2,2,3,3,3,2,1,1,2,55,16,39,0,18,11,7,1,27,15,12,0,39,19,20,2,3,139
8,76561198246607476,b1t,Natus Vincere,48,14,1.3433333333333335,8,1.2196716666666667,1.3101723333333333,79.94987666666667,42,28,6,8,1,3,2,2,2,2,0,0,0,0,0,0,2,2,2,0,27,15,12,50,29,1,1,10,18,0,4,0,0,5,1,6,6,2,4,4,2,33,14,19,0,13,10,3,0,22,10,12,0,34,14,20,1,1,102
9,76561199063068840,w0nderful,Natus Vincere,33,6,1.0999999999999999,7,0.8659093333333333,0.9903916666666666,76.60819,38,15,4,6,1,10,3,3,2,1,1,1,0,0,0,0,3,2,1,1,27,15,12,33,15,1,1,7,10,0,2,0,1,2,2,4,4,2,2,2,2,34,6,28,0,13,7,6,0,20,10,10,1,51,19,32,1,2,118
