,event_id,match_name,winner_team_name,defeated_team_name,winner_score,defeated_score,match_date,game_number,map_name,winner_team_id,defeated_team_id
0,1,3dmax-vs-big-m1-ancient.dem,3DMAX,BIG,13.0,11.0,2025-02-02,m1,ancient,1.0,2.0
1,1,3dmax-vs-big-m2-inferno.dem,3DMAX,BIG,13.0,6.0,2025-02-02,m2,inferno,1.0,2.0
2,1,eternal-fire-vs-3dmax-m1-inferno.dem,3DMAX,Eternal Fire,13.0,4.0,2025-02-03,m1,inferno,1.0,3.0
3,1,eternal-fire-vs-3dmax-m2-anubis.dem,Eternal Fire,3DMAX,16.0,13.0,2025-02-03,m2,anubis,3.0,1.0
4,1,eternal-fire-vs-3dmax-m3-dust2.dem,Eternal Fire,3DMAX,13.0,10.0,2025-02-03,m3,dust2,3.0,1.0
5,1,eternal-fire-vs-faze-m1-anubis.dem,Eternal Fire,FaZe Clan,13.0,4.0,2025-02-04,m1,anubis,3.0,4.0
6,1,eternal-fire-vs-faze-m2-nuke.dem,Eternal Fire,FaZe Clan,25.0,22.0,2025-02-04,m2,nuke,3.0,4.0
7,1,eternal-fire-vs-virtus-pro-m1-anubis.dem,Eternal Fire,Virtus.Pro,13.0,9.0,2025-02-02,m1,anubis,3.0,5.0
8,1,eternal-fire-vs-virtus-pro-m2-dust2-p1.dem,Eternal Fire,Virtus.Pro,3.0,1.0,2025-02-02,m2,dust2,3.0,5.0
9,1,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,Virtus.Pro,Eternal Fire,12.0,7.0,2025-02-02,m2,dust2,5.0,3.0
10,1,eternal-fire-vs-virtus-pro-m3-train-p3.dem,Virtus.Pro,Eternal Fire,16.0,13.0,2025-02-02,m3,train,5.0,3.0
11,1,falcons-vs-eternal-fire-m1-inferno.dem,Eternal Fire,Team Falcons,13.0,7.0,2025-02-01,m1,inferno,3.0,6.0
12,1,falcons-vs-eternal-fire-m2-train.dem,Eternal Fire,Team Falcons,13.0,5.0,2025-02-01,m2,train,3.0,6.0
13,1,falcons-vs-g2-m1-ancient.dem,G2 Esports,Team Falcons,13.0,9.0,2025-02-02,m1,ancient,7.0,6.0
14,1,falcons-vs-g2-m2-dust2.dem,Team Falcons,G2 Esports,13.0,7.0,2025-02-02,m2,dust2,6.0,7.0
15,1,falcons-vs-g2-m3-mirage.dem,G2 Esports,Team Falcons,13.0,11.0,2025-02-02,m3,mirage,7.0,6.0
16,1,faze-vs-big-m1-ancient-p1.dem,BIG,FaZe Clan,7.0,5.0,2025-02-01,m1,ancient,2.0,4.0
17,1,faze-vs-big-m1-ancient-p2.dem,FaZe Clan,BIG,8.0,3.0,2025-02-01,m1,ancient,4.0,2.0
18,1,faze-vs-big-m2-mirage.dem,BIG,FaZe Clan,13.0,9.0,2025-02-01,m2,mirage,2.0,4.0
19,1,faze-vs-big-m3-nuke.dem,FaZe Clan,BIG,13.0,7.0,2025-02-01,m3,nuke,4.0,2.0
20,1,furia-vs-astralis-m1-inferno-p1.dem,Astralis,FURIA,2.0,1.0,2025-02-03,m1,inferno,8.0,9.0
21,1,furia-vs-astralis-m1-inferno-p2.dem,Astralis,FURIA,11.0,9.0,2025-02-03,m1,inferno,8.0,9.0
22,1,furia-vs-astralis-m2-dust2.dem,FURIA,Astralis,13.0,8.0,2025-02-03,m2,dust2,9.0,8.0
23,1,furia-vs-astralis-m3-nuke-p1.dem,Astralis,FURIA,3.0,3.0,2025-02-03,m3,nuke,8.0,9.0
24,1,furia-vs-astralis-m3-nuke-p2.dem,Astralis,FURIA,10.0,8.0,2025-02-03,m3,nuke,8.0,9.0
25,1,g2-vs-faze-m1-ancient-p1.dem,FaZe Clan,G2 Esports,4.0,4.0,2025-02-03,m1,ancient,4.0,7.0
26,1,g2-vs-faze-m1-ancient-p2.dem,FaZe Clan,G2 Esports,12.0,9.0,2025-02-03,m1,ancient,4.0,7.0
27,1,g2-vs-faze-m2-inferno-p1.dem,FaZe Clan,G2 Esports,7.0,4.0,2025-02-03,m2,inferno,4.0,7.0
28,1,g2-vs-faze-m2-inferno-p2.dem,G2 Esports,FaZe Clan,9.0,3.0,2025-02-03,m2,inferno,7.0,4.0
29,1,g2-vs-faze-m3-nuke.dem,FaZe Clan,G2 Esports,13.0,8.0,2025-02-03,m3,nuke,4.0,7.0
30,1,g2-vs-virtus-pro-m1-inferno.dem,Virtus.Pro,G2 Esports,13.0,9.0,2025-02-01,m1,inferno,5.0,7.0
31,1,g2-vs-virtus-pro-m2-mirage.dem,Virtus.Pro,G2 Esports,16.0,14.0,2025-02-01,m2,mirage,5.0,7.0
32,1,gamerlegion-vs-astralis-m1-nuke-p1.dem,GamerLegion,Astralis,4.0,4.0,2025-02-04,m1,nuke,10.0,8.0
