,armor,attacker_4k_rounds_total,attacker_X,attacker_Y,attacker_Z,attacker_ct_losing_streak,attacker_current_equip_value,attacker_health,attacker_is_ct_timeout,attacker_is_terrorist_timeout,attacker_place,attacker_name,attacker_steamid,attacker_t_losing_streak,attacker_team_clan_name,attacker_side,attacker_total_rounds_played,ct_losing_streak,ct_team_clan_name,ct_side,dmg_armor,dmg_health,health,hitgroup,is_ct_timeout,is_terrorist_timeout,t_losing_streak,t_team_clan_name,t_side,tick,total_rounds_played,user_4k_rounds_total,user_X,user_Y,user_Z,user_ct_losing_streak,user_current_equip_value,user_health,user_is_ct_timeout,user_is_terrorist_timeout,user_place,user_name,user_steamid,user_t_losing_streak,user_team_clan_name,user_side,user_total_rounds_played,weapon,total_dmg
26,93,0.0,826.49475,2301.3486,136.03148,2.0,2350.0,100.0,False,False,BombsiteB,jL,7.65611981768783e+16,0.0,Natus Vincere,ct,1.0,2.0,Natus Vincere,ct,7,10,90,generic,False,False,0.0,FaZe Clan,t,15110,1,0.0,168.03354,1131.6516,91.166336,2.0,4200.0,100,False,False,Banana,frozen,76561198068422762,0.0,FaZe Clan,t,1,hegrenade,17
27,100,0.0,956.4687,711.96875,105.976616,2.0,3450.0,100.0,False,False,Middle,karrigan,7.656119798943026e+16,0.0,FaZe Clan,t,1.0,2.0,Natus Vincere,ct,0,8,92,generic,False,False,0.0,FaZe Clan,t,15180,1,0.0,1334.2546,232.57031,138.03125,2.0,2000.0,100,False,False,TopofMid,b1t,76561198246607476,0.0,Natus Vincere,ct,1,inferno,8
28,100,0.0,-7.640991,1348.2954,104.03125,2.0,4200.0,90.0,False,False,Banana,frozen,7.656119806842277e+16,0.0,FaZe Clan,t,1.0,2.0,Natus Vincere,ct,0,0,100,generic,False,False,0.0,FaZe Clan,t,15313,1,0.0,823.07916,2332.8616,136.03146,2.0,2350.0,100,False,False,BombsiteB,jL,76561198176878303,0.0,Natus Vincere,ct,1,hegrenade,0
29,100,0.0,-7.640991,1348.2954,104.03125,2.0,4200.0,90.0,False,False,Banana,frozen,7.656119806842277e+16,0.0,FaZe Clan,t,1.0,2.0,Natus Vincere,ct,0,1,99,generic,False,False,0.0,FaZe Clan,t,15313,1,0.0,823.07916,2332.8616,136.03146,2.0,2350.0,100,False,False,BombsiteB,jL,76561198176878303,0.0,Natus Vincere,ct,1,hegrenade,1
30,63,0.0,-12.004272,1351.7451,104.03124,2.0,4200.0,90.0,False,False,Banana,frozen,7.656119806842277e+16,0.0,FaZe Clan,t,1.0,2.0,Natus Vincere,ct,37,56,43,generic,False,False,0.0,FaZe Clan,t,15319,1,0.0,824.4938,2330.998,136.03146,2.0,2350.0,99,False,False,BombsiteB,jL,76561198176878303,0.0,Natus Vincere,ct,1,hegrenade,93
31,98,0.0,956.47076,711.8861,105.97606,2.0,3450.0,100.0,False,False,Middle,karrigan,7.656119798943026e+16,0.0,FaZe Clan,t,1.0,2.0,Natus Vincere,ct,2,3,89,generic,False,False,0.0,FaZe Clan,t,15541,1,0.0,1546.7649,114.83137,132.03125,2.0,2000.0,92,False,False,TopofMid,b1t,76561198246607476,0.0,Natus Vincere,ct,1,hegrenade,5
58,78,0.0,35.66158,911.6532,81.022736,3.0,4200.0,100.0,False,False,TRamp,frozen,7.656119806842277e+16,0.0,FaZe Clan,t,2.0,3.0,Natus Vincere,ct,19,29,71,generic,False,False,0.0,FaZe Clan,t,26066,2,0.0,515.4973,1939.6309,136.03125,3.0,2650.0,100,False,False,Banana,w0nderful,76561199063068840,0.0,Natus Vincere,ct,2,hegrenade,48
59,78,0.0,208.08044,1393.3584,107.15139,3.0,3450.0,100.0,False,False,Banana,karrigan,7.656119798943026e+16,0.0,FaZe Clan,t,2.0,3.0,Natus Vincere,ct,0,1,70,generic,False,False,0.0,FaZe Clan,t,26097,2,0.0,470.02103,1912.7428,136.03125,3.0,2650.0,71,False,False,Banana,w0nderful,76561199063068840,0.0,Natus Vincere,ct,2,inferno,1
60,78,0.0,213.43018,1393.7177,108.1234,3.0,3450.0,100.0,False,False,Banana,karrigan,7.656119798943026e+16,0.0,FaZe Clan,t,2.0,3.0,Natus Vincere,ct,0,2,68,generic,False,False,0.0,FaZe Clan,t,26110,2,0.0,444.4341,1907.9642,136.03125,3.0,2650.0,70,False,False,Banana,w0nderful,76561199063068840,0.0,Natus Vincere,ct,2,inferno,2
61,78,0.0,238.12155,1385.1515,110.13595,3.0,3450.0,100.0,False,False,Banana,karrigan,7.656119798943026e+16,0.0,FaZe Clan,t,2.0,3.0,Natus Vincere,ct,0,3,65,generic,False,False,0.0,FaZe Clan,t,26123,2,0.0,415.3772,1914.9517,136.03123,3.0,2650.0,68,False,False,Banana,w0nderful,76561199063068840,0.0,Natus Vincere,ct,2,inferno,3
